id,cost,status
2,2034700.956,0
22,58780.80078,0
24,321725.9626,0
45,13404054.84,0
46,6138751.269,0
66,2291364.357,0
67,4248132.072,0
68,10474107.26,0
89,15113439.89,0
90,5805760.229,0
91,1537798.539,0
92,3347479.148,0
110,7632634.496,0
111,32423685.15,0
112,9362344.605,0
133,16030450.06,0
134,16237976.32,0
135,3669908.492,0
136,3187244.247,0
154,9571825.441,0
155,21650635.09,0
156,16237976.32,0
157,19631572.81,0
158,2287193.179,0
176,2268242.243,0
177,21650635.09,0
178,16237976.32,0
179,21650635.1,0
180,15711192.92,0
181,4805108.264,0
198,16231644.83,0
199,16237976.32,0
200,16237976.32,0
201,16237976.32,0
202,16237976.32,0
203,2300712.425,0
220,8370118.992,0
221,21650635.09,0
222,16237976.32,0
223,21650635.09,0
224,16237976.32,0
225,21650635.09,0
226,3077249.915,0
239,1906.668945,0
242,16042503.75,0
243,16237976.32,0
244,16237976.32,0
245,16237976.32,0
246,16237976.32,0
247,16237976.32,0
248,7536240.374,0
259,2929121.382,0
261,5085578.688,0
264,433157.1411,0
265,32475952.64,0
266,32475952.64,0
267,32475952.64,0
268,32475952.64,0
269,32475952.64,0
270,32475952.64,0
281,332341.9785,0
283,5274667.965,0
284,11599006.55,0
286,14431962.32,0
287,16237976.32,0
288,16237976.32,0
289,16237976.32,0
290,16237976.32,0
291,16237976.32,0
292,14640958.17,0
293,507047.0852,0
303,11574703.78,0
305,16237976.32,0
306,5170734.63,0
308,853988.4399,0
309,21650635.09,0
310,16237976.32,2
311,21650635.09,0
312,16237976.32,0
313,21650635.09,0
314,16237976.32,0
315,27152963.74,0
316,1699441.843,0
322,515415.5706,0
323,6426003.896,0
325,10590535.31,0
326,24604955.82,0
327,18802853.93,0
328,15964215.39,0
329,49797.03516,0
330,13935753.8,0
331,16237976.32,0
332,32475952.64,0
333,16237976.32,0
334,16237976.32,0
335,16237976.32,0
336,16237976.32,0
337,14550365.67,0
338,290994.7266,0
342,1158271.075,0
343,9795426.215,0
344,3846373.463,0
345,10491047.64,0
346,6181590.505,0
347,21650635.09,0
348,15325179.13,0
349,16237976.32,0
350,14769565.81,2
352,687691.0015,0
353,21650635.09,0
354,32475952.64,2
355,21650635.09,0
356,16237976.32,0
357,21650635.09,2
358,16237976.32,0
359,21650635.09,0
360,11654940.92,0
363,69556.68994,0
364,7964395.374,0
365,17102226.5,0
366,15646693.26,0
367,20351749.11,0
368,17004269.11,0
369,32475952.64,0
370,16237976.32,0
371,21650635.09,0
372,16237976.32,0
373,11853178.31,2
374,11235998.74,0
375,21650635.09,0
376,32475952.64,0
377,16237976.32,0
378,21650635.09,0
379,16237976.32,0
380,16237976.32,0
381,16237976.32,0
382,14085561.61,0
383,4243976.202,0
384,1810687.319,0
385,7430059.244,2
386,8184470.549,0
387,16237976.32,0
388,16237976.32,0
389,16237976.32,0
390,16237976.32,0
391,16237976.32,0
392,16237976.32,0
393,16237976.32,0
394,16237976.32,2
397,21650635.09,0
398,64951905.28,0
399,21650635.09,0
400,16237976.32,0
401,21650635.09,2
402,16237976.32,0
403,21650635.09,0
404,16237976.32,2
405,20435595.78,0
406,13176011.88,0
407,11680441.02,0
408,16237976.32,0
409,21650635.09,0
410,16237976.32,0
411,21650635.09,0
412,16237976.32,0
413,21650635.09,0
414,16237976.32,0
415,21650635.09,0
416,16237976.32,0
417,23226518.51,2
418,7399006.468,0
419,32475952.64,0
420,16237976.32,0
421,21650635.09,0
422,32475952.64,2
423,21650635.09,2
424,16237976.32,0
425,21650635.09,0
426,16237976.32,0
427,21650635.09,0
428,16237976.32,0
429,21650635.09,0
430,16237976.32,0
431,21650635.09,0
432,16237976.32,0
433,21650635.09,0
434,16237976.32,0
435,21650635.09,0
436,16237976.32,0
437,21650635.09,0
438,16237976.32,2
441,21305817.54,0
442,32475952.64,0
443,16237976.32,0
444,32475952.64,2
445,16237976.32,0
446,16237976.32,0
447,16237976.32,0
448,16237976.32,0
449,16237976.32,0
450,16237976.32,0
451,16237976.32,0
452,16237976.32,0
453,16237976.32,0
454,16237976.32,0
455,16237976.32,0
456,16237976.32,0
457,16237976.32,0
458,16237976.32,0
459,16237976.32,0
460,16237976.32,0
461,8624625.281,0
462,6462259.429,0
463,32475952.64,0
464,32475952.64,0
465,32475952.64,0
466,32475952.64,2
467,32475952.64,0
468,32475952.64,0
469,32475952.64,0
470,32475952.64,0
471,32475952.64,0
472,32475952.64,0
473,32475952.64,0
474,32475952.64,0
475,32475952.64,0
476,32475952.64,0
477,32475952.64,0
478,32475952.64,0
479,32475952.64,0
480,32475952.64,0
481,32475952.64,0
482,30757593.09,0
485,19539465.95,0
486,21650635.09,0
487,21650635.09,0
488,32475952.64,0
489,21650635.09,0
490,16237976.32,0
491,21650635.09,0
492,16237976.32,0
493,21650635.09,0
494,16237976.32,0
495,21650635.09,0
496,16237976.32,0
497,21650635.09,0
498,16237976.32,0
499,21650635.09,0
500,16237976.32,0
501,21650635.09,0
502,16237976.32,0
503,21650635.09,2
504,16237976.32,0
505,570998.2936,0
507,21650635.09,0
508,16237976.32,0
509,16237976.32,0
510,21650635.09,0
511,16237976.32,0
512,16237976.32,0
513,16237976.32,0
514,16237976.32,0
515,16237976.32,0
516,16237976.32,0
517,16237976.32,0
518,16237976.32,0
519,16237976.32,0
520,16237976.32,0
521,16237976.32,0
522,16237976.32,2
523,16237976.32,0
524,16237976.32,0
525,16237976.32,0
526,11453219.93,2
529,9635067.301,0
530,16237976.32,0
531,21650635.09,0
532,32475952.64,0
533,21650635.09,0
534,16237976.32,0
535,21650635.09,0
536,16237976.32,0
537,21650635.09,0
538,16237976.32,0
539,21650635.09,0
540,16237976.32,0
541,21650635.09,0
542,16237976.32,0
543,21650635.09,0
544,16237976.32,0
545,21650635.09,0
546,16237976.32,2
547,32475952.64,0
548,16237976.32,0
549,2393093.394,0
551,16237976.32,0
552,16237976.32,0
553,21650635.09,0
554,32475952.64,0
555,16237976.32,0
556,16237976.32,0
557,16237976.32,0
558,16237976.32,0
559,16237976.32,0
560,16237976.32,0
561,16237976.32,2
562,16237976.32,0
563,16237976.32,0
564,16237976.32,0
565,16237976.32,0
566,16237976.32,0
567,16237976.32,0
568,21650635.09,2
569,21650635.09,0
570,16237976.32,2
573,2960998.845,0
574,16237976.32,0
575,32475952.64,0
576,32475952.64,0
577,32475952.64,0
578,21650635.09,0
579,21650635.09,0
580,16237976.32,0
581,21650635.09,0
582,16237976.32,0
583,21650635.09,0
584,16237976.32,0
585,21650635.09,0
586,16237976.32,0
587,21650635.09,0
588,16237976.32,0
589,21650635.09,0
590,16237976.32,2
591,21650635.09,0
592,16237976.32,0
593,7187623.106,0
595,12076834.84,0
596,21650635.09,0
597,32475952.64,0
598,32475952.64,0
599,21650635.09,0
600,16237976.32,0
601,16237976.32,0
602,16237976.32,0
603,16237976.32,0
604,16237976.32,0
605,16237976.32,0
606,16237976.32,0
607,16237976.32,0
608,16237976.32,0
609,16237976.32,0
610,16237976.32,0
611,16237976.32,0
612,16237976.32,0
613,16237976.32,0
614,14306972.85,0
617,1361065.07,0
618,32475952.64,0
619,64951905.28,0
620,64951905.28,0
621,32475952.64,2
622,64951905.28,0
623,32475952.64,2
624,32475952.64,2
625,32475952.64,0
626,32475952.64,0
627,32475952.64,0
628,32475952.64,0
629,32475952.64,0
630,32475952.64,0
631,32475952.64,0
632,32475952.64,0
633,32475952.64,0
634,32475952.64,0
635,32475952.64,0
636,32475952.64,0
639,10179671.46,0
640,21650635.09,0
641,32475952.64,0
642,16237976.32,2
643,21650635.1,0
644,16237976.32,2
645,16237976.32,2
646,16237976.32,0
647,16237976.32,0
648,16237976.32,0
649,16237976.32,0
650,16237976.32,0
651,16237976.32,0
652,16237976.32,0
653,16237976.32,0
654,16237976.32,2
655,16237976.32,0
656,16237976.32,0
657,16237976.32,0
658,13860336.81,0
662,16052534.38,0
663,32475952.64,0
664,21650635.09,0
665,21650635.09,0
666,32475952.64,0
667,21650635.09,2
668,16237976.32,2
669,21650635.09,0
670,16237976.32,0
671,21650635.09,0
672,16237976.32,0
673,21650635.09,0
674,16237976.32,0
675,21650635.09,0
676,16237976.32,0
