species,pu,amount
1,960,33120490.807620
1,744,4289238.882320
1,831,40427285.097170
1,1004,25025644.815920
1,939,28356354.265620
1,871,23811739.152340
1,853,1735066.563480
1,810,15374625.523930
1,762,13229447.055180
1,896,5696058.040040
1,584,24881422.149410
1,873,2964809.346680
1,830,7276517.335940
1,562,18309244.376460
1,652,1872218.901860
1,785,15663448.925780
1,827,27139824.474120
1,809,13065886.594240
1,697,3863570.467290
1,630,31479520.008790
1,784,24210038.384280
1,718,6080763.675290
1,650,5016976.053220
1,586,9771379.932620
1,895,52322235.417970
1,1048,11497013.154790
1,740,25444723.974610
1,651,9373919.565430
1,741,10022575.329590
1,696,1132833.836910
1,782,10392781.795900
1,738,4424304.048340
1,872,33675498.794920
1,763,16870436.564940
1,585,13835308.141110
1,519,12819882.895510
1,917,3006205.978520
1,788,4307596.656250
1,628,4352388.862790
1,806,14417588.437500
1,672,781635.644530
1,607,28482214.485840
1,938,13270527.417480
1,961,7595254.772950
1,674,6601827.391110
1,695,2031771.214840
1,761,4067674.463870
1,832,15061767.294430
1,1049,4800025.685550
1,605,1555886.073240
1,783,8623806.527340
1,564,8001038.006840
1,808,13437226.291020
1,608,8321554.179690
1,984,9252780.070310
1,829,25334764.534180
1,852,6544593.707030
1,982,2781863.582030
1,606,2569244.055660
1,854,16305595.495120
1,1028,4237985.213870
1,719,9497707.571780
1,828,7918682.822750
1,894,25132164.039060
1,629,7097704.618650
1,542,20388398.512700
1,675,5534685.472170
1,850,30787637.596680
1,1005,7352171.440430
1,983,5861985.394040
1,475,2649799.136720
1,540,622047.238280
1,916,21335990.683110
1,541,12314318.079100
1,1027,7017812.332520
1,805,18344626.672850
1,807,24143329.129880
1,849,10235857.942870
1,851,5416158.245120
1,940,11433389.458500
1,694,8128859.093750
1,739,6052006.674320
1,893,12754847.459960
1,766,33036565.134280
1,717,10737551.450680
1,743,608112.984380
1,764,1393738.312010
1,631,7443618.334960
1,563,22080347.671880
1,673,4542319.804200
1,787,35904273.653810
1,498,5201686.933110
2,1292,1107959.263670
2,1113,14518489.338380
2,1577,12993.514650
2,1133,15617842.541500
2,1335,8472663.028320
2,898,6197460.131840
2,1029,58587805.674320
2,875,2071896.097170
2,1288,501709.391600
2,1334,25004827.597660
2,1399,1790837.415040
2,874,36868953.188960
2,1247,7438006.460450
2,1047,3277242.461910
2,1358,3077293.200200
2,941,2281762.145510
2,1244,3272073.765620
2,854,1298900.599120
2,1203,313857.147950
2,1028,40296058.289550
2,1422,1287815.111820
2,1161,383761.434080
2,1510,2629939.899410
2,1226,2916250.426760
2,1508,42807.618160
2,1270,965313.672850
2,1206,4622658.874510
2,1202,23420058.808110
2,768,4142482.516110
2,1271,1217827.445800
2,1575,20384.576660
2,1044,55546.492680
2,987,2668393.083980
2,1221,1161929.152830
2,1048,30462542.488280
2,940,25766320.969730
2,852,32715542.581540
2,833,13857448.271970
2,1443,2377550.781740
2,1177,9673275.089840
2,1070,9247475.052730
2,979,233996.337400
2,1466,3751503.606450
2,1309,1825368.787110
2,1132,327361.846680
2,1250,93471.700680
2,1138,42641323.003910
2,1182,2500369.842770
2,1267,2885054.349120
2,1096,269137.750980
2,831,92887.528320
2,876,37535122.978030
2,1178,15564190.313960
2,1067,1242940.547360
2,942,2532790.773930
2,1574,474306.329590
2,1402,5074033.405270
2,943,8562562.330570
2,986,3751603.971190
2,1073,18498803.919430
2,1421,847813.182620
2,1074,735893.870610
2,1248,2598142.482910
2,1423,2712963.916020
2,1533,1026120.586910
2,856,13778047.083980
2,789,3479843.273930
2,1118,5109457.219730
2,1201,3729590.315920
2,1051,16742811.565430
2,1162,3173727.320310
2,1052,3370135.214360
2,921,23608238.030760
2,1025,118088.903810
2,1553,564482.030760
2,1311,4465205.469240
2,1155,1561869.951170
2,1290,12062244.066410
2,1116,33012888.165530
2,1139,6810751.813480
2,1156,20478129.822750
2,1268,9994132.824220
2,1136,16711106.312500
2,1009,3796728.025390
2,957,10000
2,1160,2565668.280760
2,1444,3153525.318850
2,1314,153350.522950
2,1050,50655447.131840
2,1289,7059759.974120
2,1024,14228451.746090
2,922,122716.226560
2,1332,626811.532230
2,1049,24111201.772950
2,1180,12464057.739750
2,1333,1720986.285640
2,1509,2433442.391110
2,1030,1516174.994140
2,899,54297997.067380
2,1530,1044918.885740
2,1534,857778.931150
2,984,23701383.007810
2,1468,584966.039060
2,1088,466067.411620
2,877,31277421.886230
2,1272,845541.982420
2,1381,1124244.353030
2,1467,2233381.200680
2,1089,5658732.824710
2,1310,6403.808590
2,1600,148115.203120
2,1111,3804004.394530
2,1315,1251776.627440
2,1249,7951798.663570
2,811,7196082.717770
2,1114,9301539.157710
2,897,3711728.430660
2,1378,3801304.879390
2,1447,467348.379880
2,1354,8232290.501460
2,853,21066207.831050
2,1316,294086.535160
2,1046,15490663.308110
2,1400,15840646.943850
2,1023,3111203.534670
2,1246,23424143.988280
2,1556,1082033.329590
2,1005,922.494140
2,1159,4108041.566410
2,830,23442509.074220
2,1158,18687381.027830
2,1117,25638099.553710
2,920,39693750.592290
2,1380,7974454.001460
2,1578,218321.587400
2,900,3466385.707520
2,1112,8009214.027340
2,919,554085.615230
2,1205,536448.183110
2,1598,55882.839840
2,1026,3672913.621090
2,1356,9833014.039060
2,962,47652319.487790
2,1179,7597321.793950
2,1425,792010.895510
2,988,1785281.772460
2,1245,7614916.039060
2,1291,11364932.098140
2,1266,351204.242680
2,965,4328725.805180
2,1199,6688055.705570
2,964,6360362.400390
2,1200,10414270.041500
2,1293,295158.694820
2,1076,1112535.232910
2,1000,18318.888670
2,963,5741009.256350
2,1068,10749563.585450
2,1140,26868.254390
2,1531,1670621.028810
2,1491,55201.767090
2,1355,3491904.897950
2,1157,7252648.483400
2,1490,914953.900880
2,1093,20812051.673830
2,1265,683735.384770
2,1243,693389.297360
2,1135,2994725.317870
2,1008,6456648.108890
2,1554,756562.780760
2,1489,8147732.413570
2,1091,15627621.603030
2,1095,2612445.536620
2,1269,2257817.352050
2,832,4840221.236820
2,1001,3389448.642090
2,1401,4055617.644040
2,812,24192413.190920
2,1377,1401175.832030
2,1220,1353825.283690
2,980,4937049.777340
2,1552,437731.559080
2,1223,10862274.958500
2,1424,2619776.322750
2,1224,8555315.624510
2,944,1327977.553220
2,1183,4827503.701170
2,1513,487963.911620
2,1045,12955578.887700
2,1071,6255225.950680
2,834,33488.865720
2,1469,1214413.789550
2,1097,86268.684570
2,1357,3439148.587400
2,1006,42202795.133790
2,1181,4916642.545900
2,1512,8892076.110350
2,1225,189714.883790
2,1134,23586841.816890
2,1446,1370818.494630
2,1092,1771355.169920
2,1137,18406598.154300
2,1222,2468176.616700
2,1115,13207222.452640
2,1597,297955.211910
2,896,16872895.061040
2,1072,23670087.323730
2,1069,14382127.833010
2,1002,4992025.156740
2,1312,9725277.188480
2,1336,6066922.332030
2,1227,3104458.411130
2,1204,2094833.358890
2,1337,523142.015140
2,1141,2383443.341800
2,1487,5225863.155760
2,1094,40054677.674800
2,1488,1097192.366700
2,1007,21651671.542970
2,918,35089869.931640
2,1090,3894105.427730
2,1032,342069.043950
2,1027,1354984.188480
2,985,5003144.368160
2,855,45204203.567380
2,1294,4976235.295410
2,1313,4663219.797850
2,1403,686866.861820
2,1465,395522.517090
2,1557,75533.685060
2,1379,2823515.461430
3,391,31873002.609860
3,701,41917096.721680
3,787,8512408.920410
3,409,19229195.979980
3,811,32120991.881840
3,453,4488845.167480
3,370,41645213.506840
3,524,1199991.458500
3,653,55153636.668950
3,721,23130918.842290
3,481,20941175.438960
3,415,43123803.378910
3,365,3566977.444820
3,499,4987188.475100
3,564,44608625.951170
3,389,966278.882320
3,631,33878643.163090
3,521,8868710.905270
3,434,17267477.385740
3,457,29193722.662110
3,764,25479767.725590
3,437,44198353.829100
3,613,38920827.347660
3,746,12817741.138670
3,525,14582824.555180
3,765,55056784.649410
3,699,26428146.926270
3,520,32433472.617190
3,347,8093355.416990
3,542,14654835.255860
3,548,47577667.238280
3,569,20927500.619140
3,608,5883340.990230
3,609,38871630.585940
3,477,3168002.136720
3,543,35682290.544920
3,544,2433563.878420
3,655,18582817.740720
3,675,8780134.204590
3,546,5026074.524410
3,589,5907077.530270
3,745,21742707.949220
3,568,2714481.472660
3,724,45972381.278320
3,565,23027392.787110
3,812,698022.868160
3,720,40353690.985350
3,657,41932516.194820
3,523,540844.676760
3,808,16071300.808590
3,476,5307802.252440
3,479,605563.387700
3,454,19073734.675290
3,741,19499030.441890
3,570,14551586.437990
3,831,1289376.727540
3,503,1181960.635740
3,545,1686732.701660
3,592,19220165.567870
3,393,8030193.961430
3,702,1042830.919430
3,591,10257151.038090
3,458,3171347.884770
3,547,7412431.767580
3,500,603462.556150
3,392,45203079.380860
3,698,43637384.432620
3,588,3184959.346680
3,504,34275488.736330
3,614,895497.052250
3,634,13836766.516600
3,697,33005608.166500
3,723,15423164.477050
3,522,138993.119140
3,413,8031765.485840
3,432,17563290.215820
3,610,14468173.575200
3,612,20789762.269040
3,455,15566072.428710
3,478,7202963.548340
3,810,43075989.840330
3,590,15565109.309570
3,722,41811830.465820
3,431,40581985.700680
3,832,19556230.270510
3,435,8750881.223140
3,433,26175776.359860
3,767,44313319.441890
