"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,0.000000,403712004.970710,0,12,0,0,,1.000000
24,,0.000000,3037066981.320290,0,62,0,0,,1.000000
23,,0.000000,670633462.403330,0,17,0,0,,1.000000
22,,0.000000,1929179388.697249,0,44,0,0,,1.000000
21,,0.000000,301550923.737780,0,7,0,0,,1.000000
20,,0.000000,236236129.190890,0,20,0,0,,1.000000
19,,0.000000,186471417.194820,0,5,0,0,,1.000000
18,,0.000000,64672.713870,0,1,0,0,,1.000000
17,,0.000000,58390040.127930,0,1,0,0,,1.000000
16,,0.000000,3307340036.620090,0,65,0,0,,1.000000
15,,0.000000,42927817.293940,0,9,0,0,,1.000000
14,,0.000000,38849723.918460,0,3,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,109080009.639660,0,11,0,0,,1.000000
11,,0.000000,114285820.816410,0,31,0,0,,1.000000
10,,110332387.515864,111107213.019530,0,14,0,0,yes,1.000000
9,,238284629.509380,238388376.386720,0,12,0,0,yes,1.000000
8,,257928662.232081,263318355.736830,0,31,0,0,yes,1.000000
7,,434248527.484422,435048652.069300,0,30,0,0,yes,1.000000
6,,468737987.304786,469825184.853030,0,29,0,0,yes,1.000000
5,,301455310.442283,301856976.613760,0,14,0,0,yes,1.000000
4,,107541997.643654,111792078.979010,0,10,0,0,yes,1.000000
3,,276535527.748922,278218862.516590,0,11,0,0,yes,1.000000
2,,192323344.329095,192172054.304700,0,9,0,0,yes,0.999213
1,,118118429.428616,117968317.394050,0,9,0,0,yes,0.998729
