"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
25,,0.000000,400097699.235350,0,11,0,0,,1.000000
24,,0.000000,3374542913.545380,0,68,0,0,,1.000000
23,,0.000000,769772065.634280,0,20,0,0,,1.000000
22,,0.000000,1814754726.716320,0,44,0,0,,1.000000
21,,0.000000,321226206.667980,0,7,0,0,,1.000000
20,,0.000000,270539295.112280,0,23,0,0,,1.000000
19,,0.000000,277334403.167000,0,7,0,0,,1.000000
18,,0.000000,211227.317870,0,2,0,0,,1.000000
17,,0.000000,58390040.127930,0,1,0,0,,1.000000
16,,0.000000,3341608152.675281,0,68,0,0,,1.000000
15,,0.000000,44280955.485350,0,8,0,0,,1.000000
14,,0.000000,7758701.659660,0,4,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,89211263.187500,0,12,0,0,,1.000000
11,,0.000000,119477809.692390,0,31,0,0,,1.000000
10,,110332387.515864,114904355.104000,0,16,0,0,yes,1.000000
9,,238284629.509380,238104939.727060,0,12,0,0,yes,0.999246
8,,257928662.232081,257913630.966800,0,31,0,0,yes,0.999942
7,,434248527.484422,450227193.281230,0,31,0,0,yes,1.000000
6,,468737987.304786,471196617.753390,0,31,0,0,yes,1.000000
5,,301455310.442283,307792945.678210,0,16,0,0,yes,1.000000
4,,107541997.643654,120906884.584000,0,8,0,0,yes,1.000000
3,,276535527.748922,277347255.092290,0,9,0,0,yes,1.000000
2,,192323344.329095,192462665.257820,0,8,0,0,yes,1.000000
1,,118118429.428616,117339695.549800,0,9,0,0,yes,0.993407
