"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,947830992.168000,945681321.482551,66,1885320.000000,18942285.000000,94773.000000,1885320.000000,16962192.000000,0.005003,264350.685449,72130.414065,0,0.999625
2,974745442.540923,967116496.069901,66,1916383.000000,18942285.000000,90700.000000,1916383.000000,16935202.000000,0.004788,5712563.471022,789657.192716,0,0.995585
3,961464550.778404,958918334.612001,63,1890107.000000,18942285.000000,57156.000000,1890107.000000,16995022.000000,0.003017,656109.166402,108432.802334,0,0.998992
4,913074626.942901,911211612.942901,66,1863014.000000,18942285.000000,96646.000000,1863014.000000,16982625.000000,0.005102,0.000000,0.000000,0,1.000000
5,924465239.987288,922198820.386001,57,1590857.000000,18942285.000000,100000.000000,1590857.000000,17251428.000000,0.005279,675562.601287,191395.513082,0,0.999308
6,944445837.007001,942613020.007001,63,1832817.000000,18942285.000000,81846.000000,1832817.000000,17027622.000000,0.004321,0.000000,0.000000,0,1.000000
7,931753895.600581,929064567.396001,62,1707414.000000,18942285.000000,115590.000000,1707414.000000,17119281.000000,0.006102,981914.204580,293742.075300,0,0.998767
8,931416794.905640,929081994.510501,63,1797134.000000,18942285.000000,90378.000000,1797134.000000,17054773.000000,0.004771,537666.395139,139414.473202,0,0.999679
9,1005271072.563188,1002099397.753501,67,1928195.000000,18942285.000000,61343.000000,1928195.000000,16952747.000000,0.003238,1243479.809687,301402.058961,0,0.998729
10,988305451.963413,982051597.820501,69,1971551.000000,18942285.000000,98737.000000,1971551.000000,16871997.000000,0.005213,4282303.142911,973454.926417,0,0.993407
