PUID,SOLUTION
2,0
22,0
24,0
45,0
46,0
66,0
67,0
68,0
89,0
90,0
91,0
92,0
110,0
111,0
112,0
133,0
134,0
135,0
136,0
154,0
155,0
156,0
157,0
158,0
176,0
177,0
178,0
179,0
180,0
181,0
198,0
199,0
200,0
201,0
202,0
203,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
239,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
259,0
261,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
281,0
283,0
284,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
303,0
305,0
306,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,0
322,0
323,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,1
352,0
353,0
354,1
355,0
356,0
357,1
358,0
359,0
360,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
441,0
442,0
443,0
444,1
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
