spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
24,0,5.61595e+10,1.16983e+10,0,0,1125,259,0,0
23,1,4.69799e+09,2.0062e+09,0,0,155,45,0,0
22,2,3.38431e+10,3.89357e+09,0,0,786,115,0,0
21,3,4.42251e+09,3.97673e+08,0,0,119,10,0,0
20,4,8.12126e+09,1.21342e+09,0,0,380,55,0,0
19,5,7.14455e+09,6.9399e+08,0,0,203,23,0,0
18,6,5.99242e+07,5.40195e+06,0,0,43,1,0,0
17,7,3.82231e+08,7.97916e+07,0,0,15,4,0,0
16,8,5.3604e+10,1.55616e+10,0,0,1080,270,0,0
15,9,4.75741e+09,7.0445e+08,0,0,243,22,0,0
14,10,1.17878e+09,2.26088e+08,0,0,92,9,0,0
13,11,1.0627e+09,5.02374e+08,0,0,139,70,0,0
12,12,1.08376e+09,5.1629e+08,0,0,123,52,0,0
11,13,2.03099e+09,9.37823e+08,0,0,304,158,0,0
10,14,1.10239e+09,3.09403e+08,0,0,171,52,0,0
9,15,2.38285e+09,2.90486e+08,0,0,140,18,0,0
8,16,2.57929e+09,1.5773e+09,0,0,305,159,0,0
7,17,4.34249e+09,2.07937e+09,0,0,300,159,0,0
6,18,4.68738e+09,3.11037e+09,0,0,299,152,0,0
5,19,3.01455e+09,9.89334e+08,0,0,175,52,0,0
4,20,1.07542e+09,1.513e+08,0,0,109,8,0,0
3,21,2.76536e+09,2.01561e+08,0,0,133,13,0,0
2,22,1.92323e+09,2.22124e+08,0,0,231,21,0,0
1,23,1.18118e+09,0,0,0,92,0,0,0
