id,cost1,cost2
2,2034700.956,5191.4501953
22,58780.80078,5152.4301758
24,321725.9626,6218.8100586
45,13404054.84,6319.6899414
46,6138751.269,8345.9101563
66,2291364.357,7052.5800781
67,4248132.072,12513.9003906
68,10474107.26,10112.5
89,15113439.89,11683.4003906
90,5805760.229,20296.5996094
91,1537798.539,9980.4501953
92,3347479.148,11845.2001953
110,7632634.496,14506.2001953
111,32423685.15,59450.1015625
112,9362344.605,68727.6015625
133,16030450.06,73315.5
134,16237976.32,25346.1992188
135,3669908.492,62243.8984375
136,3187244.247,40520.5
154,9571825.441,69509.8984375
155,21650635.09,16921.8007813
156,16237976.32,23943.5
157,19631572.81,299951
158,2287193.179,314287
176,2268242.243,30197.9003906
177,21650635.09,68621.8984375
178,16237976.32,38593.1992188
179,21650635.1,251137
180,15711192.92,38089
181,4805108.264,135753
198,16231644.83,56245
199,16237976.32,60670.5
200,16237976.32,28981.0996094
201,16237976.32,219900
202,16237976.32,34477.1015625
203,2300712.425,33094.8984375
220,8370118.992,41169.8984375
221,21650635.09,20622
222,16237976.32,67441.5
223,21650635.09,42627.3007813
224,16237976.32,120131
225,21650635.09,36741
226,3077249.915,704757
239,1906.668945,165181
242,16042503.75,47392.1015625
243,16237976.32,224159
244,16237976.32,87811
245,16237976.32,56564.1015625
246,16237976.32,88957.296875
247,16237976.32,316216
248,7536240.374,56442.6015625
259,2929121.382,9164.9404297
261,5085578.688,450577
264,433157.1411,76724.6015625
265,32475952.64,13385.9003906
266,32475952.64,45205.8984375
267,32475952.64,173228
268,32475952.64,446178
269,32475952.64,32283.0996094
270,32475952.64,235787
281,332341.9785,12190.4003906
283,5274667.965,23700.9003906
284,11599006.55,16777.9003906
286,14431962.32,43263.8984375
287,16237976.32,19180.6992188
288,16237976.32,21493.5996094
289,16237976.32,46519.1992188
290,16237976.32,30050
291,16237976.32,74634.8984375
292,14640958.17,364602
293,507047.0852,810557
303,11574703.78,18821.5996094
305,16237976.32,912855
306,5170734.63,314935
308,853988.4399,88227
309,21650635.09,18227.0996094
310,16237976.32,65965.1015625
311,21650635.09,345235
312,16237976.32,12983.2998047
313,21650635.09,170823
314,16237976.32,70602.5
315,27152963.74,94960.796875
316,1699441.843,501795
322,515415.5706,55878.8984375
323,6426003.896,11071.9003906
325,10590535.31,34222.6015625
326,24604955.82,115623
327,18802853.93,20315.5996094
328,15964215.39,15296.4003906
329,49797.03516,25025
330,13935753.8,78772.703125
331,16237976.32,202338
332,32475952.64,213078
333,16237976.32,16432.4003906
334,16237976.32,104997
335,16237976.32,36938.1015625
336,16237976.32,366525
337,14550365.67,3698990
338,290994.7266,99705.703125
342,1158271.075,33506.6015625
343,9795426.215,29229.5996094
344,3846373.463,815179
345,10491047.64,15580.9003906
346,6181590.505,41366
347,21650635.09,55460.8984375
348,15325179.13,134512
349,16237976.32,191842
350,14769565.81,96962.5
352,687691.0015,35206.6992188
353,21650635.09,32259.4003906
354,32475952.64,15248.5996094
355,21650635.09,15203
356,16237976.32,13500.0996094
357,21650635.09,104134
358,16237976.32,263741
359,21650635.09,128791
360,11654940.92,452971
363,69556.68994,53151.3984375
364,7964395.374,82991.296875
365,17102226.5,333060
366,15646693.26,39835
367,20351749.11,34582.3984375
368,17004269.11,1544070
369,32475952.64,42567.6992188
370,16237976.32,24687.6992188
371,21650635.09,84174
372,16237976.32,106210
373,11853178.31,11520.4003906
374,11235998.74,13649.7001953
375,21650635.09,64790.3007813
376,32475952.64,12337.2998047
377,16237976.32,7243.5800781
378,21650635.09,46225.3007813
379,16237976.32,47363.1992188
380,16237976.32,160016
381,16237976.32,656359
382,14085561.61,92689.5
383,4243976.202,145644
384,1810687.319,47517.5
385,7430059.244,19063.0996094
386,8184470.549,301828
387,16237976.32,140980
388,16237976.32,203550
389,16237976.32,657372
390,16237976.32,36031.3984375
391,16237976.32,90880.6015625
392,16237976.32,22612.3007813
393,16237976.32,109880
394,16237976.32,24428.8007813
397,21650635.09,13941.5996094
398,64951905.28,10205.2001953
399,21650635.09,7436.8100586
400,16237976.32,10173.2001953
401,21650635.09,14094.5
402,16237976.32,168774
403,21650635.09,39859.8007813
404,16237976.32,28096.8007813
405,20435595.78,59918.1992188
406,13176011.88,98529.3984375
407,11680441.02,160271
408,16237976.32,61177
409,21650635.09,72467.703125
410,16237976.32,256701
411,21650635.09,32344.4003906
412,16237976.32,95525
413,21650635.09,821839
414,16237976.32,80567.3984375
415,21650635.09,415117
416,16237976.32,28683
417,23226518.51,80072.8984375
418,7399006.468,7828.3901367
419,32475952.64,11945.0996094
420,16237976.32,5981.1401367
421,21650635.09,5893.8999023
422,32475952.64,9239.8701172
423,21650635.09,1119200
424,16237976.32,378168
425,21650635.09,123383
426,16237976.32,51967.6992188
427,21650635.09,82334
428,16237976.32,90218.703125
429,21650635.09,319259
430,16237976.32,115200
431,21650635.09,211776
432,16237976.32,142543
433,21650635.09,95226.1015625
434,16237976.32,28713.8007813
435,21650635.09,139293
436,16237976.32,231015
437,21650635.09,33713.5
438,16237976.32,67686.3984375
441,21305817.54,7192.2299805
442,32475952.64,6472.2797852
443,16237976.32,7181.1601563
444,32475952.64,7448.3999023
445,16237976.32,22918.4003906
446,16237976.32,103247
447,16237976.32,19571.4003906
448,16237976.32,3002130
449,16237976.32,132706
450,16237976.32,135469
451,16237976.32,261316
452,16237976.32,41951.3007813
453,16237976.32,165364
454,16237976.32,69912.203125
455,16237976.32,816351
