"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5628326268.321743,0,119,0,0,yes,1.000000
23,,469798696.622515,826397276.342280,0,25,0,0,yes,1.000000
22,,3384307306.297791,3675931373.193320,0,86,0,0,yes,1.000000
21,,442251180.267135,453997468.624520,0,14,0,0,yes,1.000000
20,,812126096.550814,1048166470.292930,0,58,0,0,yes,1.000000
19,,714455355.802341,735223389.172850,0,20,0,0,yes,1.000000
18,,5992419.187795,29258448.968260,0,8,0,0,yes,1.000000
17,,38223068.882032,129785231.152840,0,2,0,0,yes,1.000000
16,,5360396423.750958,5360677482.685513,0,116,0,0,yes,1.000000
15,,475740709.534277,485476761.566890,0,30,0,0,yes,1.000000
14,,117877661.072850,180328819.690920,0,11,0,0,yes,1.000000
13,,106269847.207610,107712120.731920,0,11,0,0,yes,1.000000
12,,108375713.653612,125572523.696290,0,11,0,0,yes,1.000000
11,,203099116.837551,203201249.276380,0,36,0,0,yes,1.000000
10,,110238644.596040,117072837.923820,0,17,0,0,yes,1.000000
9,,238284629.509380,242315946.798340,0,10,0,0,yes,1.000000
8,,257928662.232081,302213204.997060,0,36,0,0,yes,1.000000
7,,434248527.484422,475803935.035630,0,34,0,0,yes,1.000000
6,,468737987.304786,495642535.739720,0,36,0,0,yes,1.000000
5,,301455310.442283,333103225.040040,0,17,0,0,yes,1.000000
4,,107541997.643654,111277523.168950,0,13,0,0,yes,1.000000
3,,276535527.748922,297302420.521480,0,14,0,0,yes,1.000000
2,,192323344.329095,209809936.793460,0,29,0,0,yes,1.000000
1,,118118429.428616,156307660.458000,0,10,0,0,yes,1.000000
