"planning_unit","number"
1792,9
1771,0
1770,2
1748,0
1747,0
1729,7
1727,4
1726,0
1725,3
1707,1
1706,2
1705,0
1704,0
1703,7
1702,1
1701,0
1700,0
1685,0
1684,0
1683,1
1682,0
1681,0
1680,6
1679,3
1678,1
1663,0
1662,9
1661,3
1660,0
1659,0
1658,2
1657,0
1656,9
1641,0
1640,2
1639,0
1638,0
1637,0
1636,0
1635,0
1634,0
1623,3
1619,10
1618,1
1617,2
1616,0
1615,0
1614,0
1613,0
1612,4
1611,0
1601,0
1600,0
1598,0
1597,2
1596,0
1595,0
1594,0
1593,0
1592,0
1591,0
1590,3
1579,3
1578,10
1577,0
1575,9
1574,1
1573,1
1572,0
1571,0
1570,0
1569,0
1568,0
1567,1
1557,0
1556,0
1554,3
1553,0
1552,4
1551,1
1550,0
1549,0
1548,0
1547,0
1546,7
1545,6
1535,1
1534,0
1533,2
1531,9
1530,0
1529,6
1528,0
1527,0
1526,0
1525,0
1524,0
1523,4
1513,0
1512,5
1510,4
1509,0
1508,6
1507,0
1506,0
1505,0
1504,0
1503,0
1502,0
1501,5
1491,2
1490,9
1489,2
1488,5
1487,6
1486,2
1485,0
1484,0
1483,0
1482,0
1481,0
1480,4
1479,0
1469,2
1468,5
1467,0
1466,3
1465,0
1464,1
1463,1
1462,0
1461,0
1460,0
1459,1
1458,2
1457,8
1447,0
1446,5
1445,0
1444,5
1443,0
1442,0
1441,0
1440,0
1439,0
1438,0
1437,0
1436,0
1435,0
1434,0
1425,3
1424,8
1423,1
1422,9
1421,1
1420,1
1419,1
1418,1
1417,1
1416,1
1415,0
1414,1
1413,1
1403,3
1402,2
1401,0
1400,6
1399,0
1398,1
1397,3
1396,0
1395,1
1394,0
1393,0
1392,4
1391,0
1390,8
1381,5
1380,2
1379,0
1378,6
1377,1
1376,5
1375,1
1374,1
1373,0
1372,0
1371,0
1370,1
1369,0
1368,0
1360,0
1359,0
1358,2
1357,3
1356,1
1355,4
1354,2
1353,1
1352,0
1351,0
1350,0
1349,0
1348,0
1347,0
1346,1
1345,0
1338,3
