"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,5615954115.427132,5616754036.866641,0,102,0,0,yes,1.000000
23,,469798696.622515,1979179570.308590,0,40,0,0,yes,1.000000
22,,3384307306.297791,3408540418.082520,0,72,0,0,yes,1.000000
21,,442251180.267135,454335884.669920,0,11,0,0,yes,1.000000
20,,812126096.550814,947103740.220200,0,43,0,0,yes,1.000000
19,,714455355.802341,713976725.344730,0,16,0,0,yes,0.999330
18,,5992419.187795,5988082.922360,0,3,0,0,yes,0.999276
17,,38223068.882032,74534604.627440,0,3,0,0,yes,1.000000
16,,5360396423.750958,5736936798.278740,0,102,0,0,yes,1.000000
15,,475740709.534277,490787507.452620,0,14,0,0,yes,1.000000
14,,117877661.072850,219509838.889650,0,8,0,0,yes,1.000000
13,,106269847.207610,108874983.086910,0,9,0,0,yes,1.000000
12,,108375713.653612,110504713.455570,0,12,0,0,yes,1.000000
11,,203099116.837551,259807871.188510,0,53,0,0,yes,1.000000
10,,110238644.596040,113266240.854460,0,16,0,0,yes,1.000000
9,,238284629.509380,239560603.990240,0,9,0,0,yes,1.000000
8,,257928662.232081,476859356.395520,0,53,0,0,yes,1.000000
7,,434248527.484422,435616144.821780,0,53,0,0,yes,1.000000
6,,468737987.304786,1486948930.274920,0,52,0,0,yes,1.000000
5,,301455310.442283,301867005.421400,0,16,0,0,yes,1.000000
4,,107541997.643654,111520513.068850,0,11,0,0,yes,1.000000
3,,276535527.748922,278932053.835450,0,14,0,0,yes,1.000000
2,,192323344.329095,198125492.196790,0,15,0,0,yes,1.000000
1,,118118429.428616,118685837.998050,0,9,0,0,yes,1.000000
