PUID,SOLUTION
2,1
22,0
24,0
45,0
46,0
66,0
67,1
68,0
89,0
90,0
91,1
92,1
110,0
111,0
112,1
133,0
134,0
135,0
136,1
154,0
155,0
156,0
157,0
158,1
176,0
177,0
178,0
179,0
180,0
181,0
198,0
199,1
200,0
201,0
202,0
203,0
220,1
221,0
222,0
223,0
224,0
225,0
226,0
239,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1
259,0
261,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
281,0
283,0
284,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
303,1
305,0
306,0
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
322,1
323,1
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,1
360,0
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,0
371,0
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1
392,0
393,0
394,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,1
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,1
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,1
482,1
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,1
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,0
529,0
530,1
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
551,0
552,0
553,0
554,0
555,1
556,0
557,1
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,1
573,1
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
595,1
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,0
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,1
630,0
631,1
632,0
633,0
634,0
635,0
636,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
662,1
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,1
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,0
701,0
702,0
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,0
741,0
742,1
743,0
744,0
745,0
746,0
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,1
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,1
833,0
834,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,0
873,0
874,0
875,1
876,0
877,0
883,0
884,1
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,0
900,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,1
918,0
919,0
920,0
921,0
922,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,1
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
948,0
949,0
950,1
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,0
964,0
965,0
971,1
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,1
1008,0
1009,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1036,1
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
