"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,6271328529.830523,6271303826.371600,146,3760611.000000,18942285.000000,149636.000000,3760611.000000,15032038.000000,0.007900,24703.458923,2469.835969,0,1.000000
2,6119902325.033261,6119902325.033261,136,3388939.000000,18942285.000000,129430.000000,3388939.000000,15423916.000000,0.006833,0.000000,0.000000,0,1.000000
3,6093033207.745524,6093033207.745524,135,3360913.000000,18942285.000000,161100.000000,3360913.000000,15420272.000000,0.008505,0.000000,0.000000,0,1.000000
4,6242625628.015499,6242625628.015499,140,3579374.000000,18942285.000000,142252.000000,3579374.000000,15220659.000000,0.007510,0.000000,0.000000,0,1.000000
5,6183419883.005391,6181552363.922898,139,3554860.000000,18942285.000000,150490.000000,3554860.000000,15236935.000000,0.007945,1867519.082493,182108.803061,0,0.999342
6,6058284401.315401,6058284401.315401,143,3626003.000000,18942285.000000,195993.000000,3626003.000000,15120289.000000,0.010347,0.000000,0.000000,0,1.000000
7,6061046707.302820,6061046707.302820,145,3568156.000000,18942285.000000,122545.000000,3568156.000000,15251584.000000,0.006469,0.000000,0.000000,0,1.000000
8,6202328705.197701,6202323332.584157,143,3512368.000000,18942285.000000,149670.000000,3512368.000000,15280247.000000,0.007901,5372.613545,536.930559,0,1.000000
9,6048081442.110403,6048081442.110403,145,3611771.000000,18942285.000000,163816.000000,3611771.000000,15166698.000000,0.008648,0.000000,0.000000,0,1.000000
10,6204374094.587486,6204312258.278784,147,3708464.000000,18942285.000000,139450.000000,3708464.000000,15094371.000000,0.007362,61836.308703,6182.354459,0,0.999999
