PUID,Cost1,Cost2
2,1,0
22,3,0
24,6,0
45,0,9
46,3,0
66,7,0
67,4,0
68,0,0
89,0,9
90,2,0
91,0,0
92,0,0
110,0,0
111,0,0
112,3,0
133,0,0
134,0,0
135,8,0
136,6,0
154,0,0
155,0,4
156,1,0
157,0,0
158,1,0
176,4,0
177,0,0
178,0,1
179,0,0
180,2,0
181,4,0
198,1,0
199,2,0
200,0,0
201,1,0
202,0,0
203,8,0
220,0,0
221,0,0
222,0,0
223,0,0
224,1,0
225,0,0
226,6,0
239,0,0
242,2,0
243,0,0
244,1,0
245,0,0
246,1,0
247,0,0
248,0,0
259,0,0
261,6,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
281,7,0
283,0,0
284,0,7
286,0,0
287,0,0
288,1,1
289,0,0
290,1,0
291,1,0
292,1,0
293,1,0
303,0,0
305,0,0
306,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,2,10
313,0,0
314,1,0
315,0,0
316,0,0
322,2,0
323,0,0
325,0,0
326,0,0
327,0,0
328,1,7
329,1,0
330,0,0
331,4,0
332,0,0
333,1,0
334,0,0
335,1,0
336,1,0
337,4,0
338,0,0
342,1,0
343,1,0
344,0,0
345,0,6
346,0,0
347,1,0
348,0,0
349,0,0
350,2,0
352,0,0
353,2,0
354,0,0
355,0,3
356,3,0
357,0,0
358,1,0
359,0,0
360,3,0
363,1,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,3,3
371,0,0
372,0,0
373,0,0
374,1,0
375,1,0
376,0,0
377,3,0
378,1,0
379,0,0
380,2,0
381,0,0
382,0,0
383,0,0
384,3,0
385,4,0
386,8,0
387,1,0
388,1,0
389,1,0
390,1,0
391,1,0
392,1,3
393,5,0
394,1,0
397,0,0
398,0,0
399,2,0
400,7,0
401,0,0
402,1,0
403,0,0
404,0,2
405,0,0
406,0,0
407,2,0
408,2,1
409,0,0
410,0,0
411,1,1
412,2,0
413,0,0
414,6,0
415,0,0
416,1,2
417,0,0
418,0,0
419,0,0
420,4,0
421,1,0
422,0,0
423,0,0
424,0,0
425,1,0
426,3,0
427,0,0
428,1,0
429,0,0
430,0,0
431,1,0
432,2,0
433,1,0
434,0,2
435,2,0
436,0,0
437,0,1
438,1,0
441,1,0
442,0,0
443,4,0
444,0,0
445,2,0
446,0,0
447,2,6
448,2,0
449,3,0
450,1,0
451,0,0
452,5,3
453,0,0
454,1,0
455,1,0
456,0,0
457,1,1
458,3,0
459,3,0
460,1,5
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,7
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
485,0,1
486,1,0
487,1,0
488,0,0
489,5,0
490,3,0
491,0,2
492,2,0
493,1,0
494,1,0
495,0,0
496,1,0
497,0,0
498,3,0
499,0,0
500,2,0
501,0,2
502,3,5
503,0,2
504,1,0
505,6,0
507,0,1
508,6,1
