id,cost1,cost2
2,20347.00956,5191.4501953
22,587.8080078,5152.4301758
24,3217.259626,6218.8100586
45,134040.5484,6319.6899414
46,61387.51269,8345.9101563
66,22913.64357,7052.5800781
67,42481.32072,12513.9003906
68,104741.0726,10112.5
89,151134.3989,11683.4003906
90,58057.60229,20296.5996094
91,15377.98539,9980.4501953
92,33474.79148,11845.2001953
110,76326.34496,14506.2001953
111,324236.8515,59450.1015625
112,93623.44605,68727.6015625
133,160304.5006,73315.5
134,162379.7632,25346.1992188
135,36699.08492,62243.8984375
136,31872.44247,40520.5
154,95718.25441,69509.8984375
155,216506.3509,16921.8007813
156,162379.7632,23943.5
157,196315.7281,299951
158,22871.93179,314287
176,22682.42243,30197.9003906
177,216506.3509,68621.8984375
178,162379.7632,38593.1992188
179,216506.351,251137
180,157111.9292,38089
181,48051.08264,135753
198,162316.4483,56245
199,162379.7632,60670.5
200,162379.7632,28981.0996094
201,162379.7632,219900
202,162379.7632,34477.1015625
203,23007.12425,33094.8984375
220,83701.18992,41169.8984375
221,216506.3509,20622
222,162379.7632,67441.5
223,216506.3509,42627.3007813
224,162379.7632,120131
225,216506.3509,36741
226,30772.49915,704757
239,19.06668945,165181
242,160425.0375,47392.1015625
243,162379.7632,224159
244,162379.7632,87811
245,162379.7632,56564.1015625
246,162379.7632,88957.296875
247,162379.7632,316216
248,75362.40374,56442.6015625
259,29291.21382,9164.9404297
261,50855.78688,450577
264,4331.571411,76724.6015625
265,324759.5264,13385.9003906
266,324759.5264,45205.8984375
267,324759.5264,173228
268,324759.5264,446178
269,324759.5264,32283.0996094
270,324759.5264,235787
281,3323.419785,12190.4003906
283,52746.67965,23700.9003906
284,115990.0655,16777.9003906
286,144319.6232,43263.8984375
287,162379.7632,19180.6992188
288,162379.7632,21493.5996094
289,162379.7632,46519.1992188
290,162379.7632,30050
291,162379.7632,74634.8984375
292,146409.5817,364602
293,5070.470852,810557
303,115747.0378,18821.5996094
305,162379.7632,912855
306,51707.3463,314935
308,8539.884399,88227
309,216506.3509,18227.0996094
310,162379.7632,65965.1015625
311,216506.3509,345235
312,162379.7632,12983.2998047
313,216506.3509,170823
314,162379.7632,70602.5
315,271529.6374,94960.796875
316,16994.41843,501795
322,5154.155706,55878.8984375
323,64260.03896,11071.9003906
325,105905.3531,34222.6015625
326,246049.5582,115623
327,188028.5393,20315.5996094
328,159642.1539,15296.4003906
329,497.9703516,25025
330,139357.538,78772.703125
331,162379.7632,202338
332,324759.5264,213078
333,162379.7632,16432.4003906
334,162379.7632,104997
335,162379.7632,36938.1015625
336,162379.7632,366525
337,145503.6567,3698990
338,2909.947266,99705.703125
342,11582.71075,33506.6015625
343,97954.26215,29229.5996094
344,38463.73463,815179
345,104910.4764,15580.9003906
346,61815.90505,41366
347,216506.3509,55460.8984375
348,153251.7913,134512
349,162379.7632,191842
350,147695.6581,96962.5
352,6876.910015,35206.6992188
353,216506.3509,32259.4003906
354,324759.5264,15248.5996094
355,216506.3509,15203
356,162379.7632,13500.0996094
357,216506.3509,104134
358,162379.7632,263741
359,216506.3509,128791
360,116549.4092,452971
363,695.5668994,53151.3984375
364,79643.95374,82991.296875
365,171022.265,333060
366,156466.9326,39835
367,203517.4911,34582.3984375
368,170042.6911,1544070
369,324759.5264,42567.6992188
370,162379.7632,24687.6992188
371,216506.3509,84174
372,162379.7632,106210
373,118531.7831,11520.4003906
374,112359.9874,13649.7001953
375,216506.3509,64790.3007813
376,324759.5264,12337.2998047
377,162379.7632,7243.5800781
378,216506.3509,46225.3007813
379,162379.7632,47363.1992188
380,162379.7632,160016
381,162379.7632,656359
382,140855.6161,92689.5
383,42439.76202,145644
384,18106.87319,47517.5
385,74300.59244,19063.0996094
386,81844.70549,301828
387,162379.7632,140980
388,162379.7632,203550
389,162379.7632,657372
390,162379.7632,36031.3984375
391,162379.7632,90880.6015625
392,162379.7632,22612.3007813
393,162379.7632,109880
394,162379.7632,24428.8007813
397,216506.3509,13941.5996094
398,649519.0528,10205.2001953
399,216506.3509,7436.8100586
400,162379.7632,10173.2001953
401,216506.3509,14094.5
402,162379.7632,168774
403,216506.3509,39859.8007813
404,162379.7632,28096.8007813
405,204355.9578,59918.1992188
406,131760.1188,98529.3984375
407,116804.4102,160271
408,162379.7632,61177
409,216506.3509,72467.703125
410,162379.7632,256701
411,216506.3509,32344.4003906
412,162379.7632,95525
413,216506.3509,821839
414,162379.7632,80567.3984375
415,216506.3509,415117
416,162379.7632,28683
417,232265.1851,80072.8984375
418,73990.06468,7828.3901367
419,324759.5264,11945.0996094
420,162379.7632,5981.1401367
421,216506.3509,5893.8999023
422,324759.5264,9239.8701172
423,216506.3509,1119200
424,162379.7632,378168
425,216506.3509,123383
426,162379.7632,51967.6992188
427,216506.3509,82334
428,162379.7632,90218.703125
429,216506.3509,319259
430,162379.7632,115200
431,216506.3509,211776
432,162379.7632,142543
433,216506.3509,95226.1015625
434,162379.7632,28713.8007813
435,216506.3509,139293
436,162379.7632,231015
437,216506.3509,33713.5
438,162379.7632,67686.3984375
441,213058.1754,7192.2299805
442,324759.5264,6472.2797852
443,162379.7632,7181.1601563
444,324759.5264,7448.3999023
445,162379.7632,22918.4003906
446,162379.7632,103247
447,162379.7632,19571.4003906
448,162379.7632,3002130
449,162379.7632,132706
450,162379.7632,135469
451,162379.7632,261316
452,162379.7632,41951.3007813
453,162379.7632,165364
454,162379.7632,69912.203125
455,162379.7632,816351
456,162379.7632,243450
