id,cost,status
2,20347.00956,0
22,587.8080078,0
24,3217.259626,0
45,134040.5484,0
46,61387.51269,0
66,22913.64357,0
67,42481.32072,0
68,104741.0726,0
89,151134.3989,0
90,58057.60229,0
91,15377.98539,0
92,33474.79148,0
110,76326.34496,0
111,324236.8515,0
112,93623.44605,0
133,160304.5006,0
134,162379.7632,0
135,36699.08492,0
136,31872.44247,0
154,95718.25441,0
155,216506.3509,0
156,162379.7632,0
157,196315.7281,0
158,22871.93179,0
176,22682.42243,0
177,216506.3509,0
178,162379.7632,0
179,216506.351,0
180,157111.9292,0
181,48051.08264,0
198,162316.4483,0
199,162379.7632,0
200,162379.7632,0
201,162379.7632,0
202,162379.7632,0
203,23007.12425,0
220,83701.18992,0
221,216506.3509,0
222,162379.7632,0
223,216506.3509,0
224,162379.7632,0
225,216506.3509,0
226,30772.49915,0
239,19.06668945,0
242,160425.0375,0
243,162379.7632,0
244,162379.7632,0
245,162379.7632,0
246,162379.7632,0
247,162379.7632,0
248,75362.40374,0
259,29291.21382,0
261,50855.78688,0
264,4331.571411,0
265,324759.5264,0
266,324759.5264,0
267,324759.5264,0
268,324759.5264,0
269,324759.5264,0
270,324759.5264,0
281,3323.419785,0
283,52746.67965,0
284,115990.0655,0
286,144319.6232,0
287,162379.7632,0
288,162379.7632,0
289,162379.7632,0
290,162379.7632,0
291,162379.7632,0
292,146409.5817,0
293,5070.470852,0
303,115747.0378,0
305,162379.7632,0
306,51707.3463,0
308,8539.884399,0
309,216506.3509,0
310,162379.7632,0
311,216506.3509,0
312,162379.7632,0
313,216506.3509,0
314,162379.7632,0
315,271529.6374,0
316,16994.41843,0
322,5154.155706,0
323,64260.03896,0
325,105905.3531,0
326,246049.5582,0
327,188028.5393,0
328,159642.1539,0
329,497.9703516,0
330,139357.538,0
331,162379.7632,0
332,324759.5264,0
333,162379.7632,0
334,162379.7632,0
335,162379.7632,0
336,162379.7632,0
337,145503.6567,0
338,2909.947266,0
342,11582.71075,0
343,97954.26215,0
344,38463.73463,0
345,104910.4764,0
346,61815.90505,0
347,216506.3509,0
348,153251.7913,0
349,162379.7632,0
350,147695.6581,0
352,6876.910015,0
353,216506.3509,0
354,324759.5264,0
355,216506.3509,0
356,162379.7632,0
357,216506.3509,0
358,162379.7632,0
359,216506.3509,0
360,116549.4092,0
363,695.5668994,0
364,79643.95374,0
365,171022.265,0
366,156466.9326,0
367,203517.4911,0
368,170042.6911,0
369,324759.5264,0
370,162379.7632,0
371,216506.3509,0
372,162379.7632,0
373,118531.7831,0
374,112359.9874,0
375,216506.3509,0
376,324759.5264,0
377,162379.7632,0
378,216506.3509,0
379,162379.7632,0
380,162379.7632,0
381,162379.7632,0
382,140855.6161,0
383,42439.76202,0
384,18106.87319,0
385,74300.59244,0
386,81844.70549,0
387,162379.7632,0
388,162379.7632,0
389,162379.7632,0
390,162379.7632,0
391,162379.7632,0
392,162379.7632,0
393,162379.7632,0
394,162379.7632,0
397,216506.3509,0
398,649519.0528,0
399,216506.3509,0
400,162379.7632,0
401,216506.3509,0
402,162379.7632,0
403,216506.3509,0
404,162379.7632,0
405,204355.9578,0
406,131760.1188,0
407,116804.4102,0
408,162379.7632,0
409,216506.3509,0
410,162379.7632,0
411,216506.3509,0
412,162379.7632,0
413,216506.3509,0
414,162379.7632,0
415,216506.3509,0
416,162379.7632,0
417,232265.1851,0
418,73990.06468,0
419,324759.5264,0
420,162379.7632,0
421,216506.3509,0
422,324759.5264,0
423,216506.3509,0
424,162379.7632,0
425,216506.3509,0
426,162379.7632,0
427,216506.3509,0
428,162379.7632,0
429,216506.3509,0
430,162379.7632,0
431,216506.3509,0
432,162379.7632,0
433,216506.3509,0
434,162379.7632,0
435,216506.3509,0
436,162379.7632,0
437,216506.3509,0
438,162379.7632,0
441,213058.1754,0
442,324759.5264,0
443,162379.7632,0
444,324759.5264,0
445,162379.7632,0
446,162379.7632,0
447,162379.7632,0
448,162379.7632,0
449,162379.7632,0
450,162379.7632,0
451,162379.7632,0
452,162379.7632,0
453,162379.7632,0
454,162379.7632,0
455,162379.7632,0
456,162379.7632,0
457,162379.7632,0
458,162379.7632,0
459,162379.7632,0
460,162379.7632,0
461,86246.25281,0
462,64622.59429,0
463,324759.5264,0
464,324759.5264,0
465,324759.5264,0
466,324759.5264,0
467,324759.5264,0
468,324759.5264,0
469,324759.5264,0
470,324759.5264,0
471,324759.5264,0
472,324759.5264,0
473,324759.5264,0
474,324759.5264,0
475,324759.5264,0
476,324759.5264,0
477,324759.5264,0
478,324759.5264,0
479,324759.5264,0
480,324759.5264,0
481,324759.5264,0
482,307575.9309,0
485,195394.6595,0
486,216506.3509,0
487,216506.3509,0
488,324759.5264,0
489,216506.3509,0
490,162379.7632,0
491,216506.3509,0
492,162379.7632,0
493,216506.3509,0
494,162379.7632,0
495,216506.3509,0
496,162379.7632,0
497,216506.3509,0
498,162379.7632,0
499,216506.3509,0
500,162379.7632,0
501,216506.3509,0
502,162379.7632,0
503,216506.3509,0
504,162379.7632,0
505,5709.982936,0
507,216506.3509,0
508,162379.7632,0
509,162379.7632,0
510,216506.3509,0
511,162379.7632,0
512,162379.7632,0
513,162379.7632,0
514,162379.7632,0
515,162379.7632,0
516,162379.7632,0
517,162379.7632,0
518,162379.7632,0
519,162379.7632,0
520,162379.7632,0
521,162379.7632,0
522,162379.7632,0
523,162379.7632,0
524,162379.7632,0
525,162379.7632,0
526,114532.1993,0
529,96350.67301,0
530,162379.7632,0
531,216506.3509,0
532,324759.5264,0
533,216506.3509,0
534,162379.7632,0
535,216506.3509,0
536,162379.7632,0
537,216506.3509,0
538,162379.7632,0
539,216506.3509,0
540,162379.7632,0
541,216506.3509,0
542,162379.7632,0
543,216506.3509,0
544,162379.7632,0
545,216506.3509,0
546,162379.7632,0
547,324759.5264,0
548,162379.7632,0
549,23930.93394,0
551,162379.7632,0
552,162379.7632,0
553,216506.3509,0
554,324759.5264,0
555,162379.7632,0
556,162379.7632,0
557,162379.7632,0
558,162379.7632,0
559,162379.7632,0
560,162379.7632,0
561,162379.7632,0
562,162379.7632,0
563,162379.7632,0
564,162379.7632,0
565,162379.7632,0
566,162379.7632,0
567,162379.7632,0
568,216506.3509,0
569,216506.3509,0
570,162379.7632,0
573,29609.98845,0
574,162379.7632,0
575,324759.5264,0
576,324759.5264,0
577,324759.5264,0
578,216506.3509,0
579,216506.3509,0
580,162379.7632,0
581,216506.3509,0
582,162379.7632,0
583,216506.3509,0
584,162379.7632,0
585,216506.3509,0
586,162379.7632,0
587,216506.3509,0
588,162379.7632,0
589,216506.3509,0
590,162379.7632,0
591,216506.3509,0
592,162379.7632,0
593,71876.23106,0
595,120768.3484,0
596,216506.3509,0
597,324759.5264,0
598,324759.5264,0
599,216506.3509,0
600,162379.7632,0
601,162379.7632,0
602,162379.7632,0
603,162379.7632,0
604,162379.7632,0
605,162379.7632,0
606,162379.7632,0
607,162379.7632,0
608,162379.7632,0
609,162379.7632,0
610,162379.7632,0
611,162379.7632,0
612,162379.7632,0
613,162379.7632,0
614,143069.7285,0
617,13610.6507,0
618,324759.5264,0
619,649519.0528,0
620,649519.0528,0
621,324759.5264,0
622,649519.0528,0
623,324759.5264,0
624,324759.5264,0
625,324759.5264,0
626,324759.5264,0
627,324759.5264,0
628,324759.5264,0
629,324759.5264,0
630,324759.5264,0
631,324759.5264,0
632,324759.5264,0
633,324759.5264,0
634,324759.5264,0
635,324759.5264,0
636,324759.5264,0
639,101796.7146,0
640,216506.3509,0
641,324759.5264,0
642,162379.7632,0
643,216506.351,0
644,162379.7632,0
645,162379.7632,0
646,162379.7632,0
647,162379.7632,0
648,162379.7632,0
649,162379.7632,0
650,162379.7632,0
651,162379.7632,0
652,162379.7632,0
653,162379.7632,0
654,162379.7632,0
655,162379.7632,0
656,162379.7632,0
657,162379.7632,0
658,138603.3681,0
662,160525.3438,0
663,324759.5264,0
664,216506.3509,0
665,216506.3509,0
666,324759.5264,0
667,216506.3509,0
668,162379.7632,0
669,216506.3509,0
670,162379.7632,0
671,216506.3509,0
672,162379.7632,0
673,216506.3509,0
674,162379.7632,0
675,216506.3509,0
676,162379.7632,0
677,216506.3509,0
