id,cost,status
2,5191.4501953,0
22,5152.4301758,0
24,6218.8100586,0
45,6319.6899414,0
46,8345.9101563,0
66,7052.5800781,0
67,12513.9003906,0
68,10112.5,0
89,11683.4003906,0
90,20296.5996094,0
91,9980.4501953,0
92,11845.2001953,0
110,14506.2001953,0
111,59450.1015625,0
112,68727.6015625,0
133,73315.5,0
134,25346.1992188,0
135,62243.8984375,0
136,40520.5,0
154,69509.8984375,0
155,16921.8007813,0
156,23943.5,0
157,299951,0
158,314287,0
176,30197.9003906,0
177,68621.8984375,0
178,38593.1992188,0
179,251137,0
180,38089,0
181,135753,0
198,56245,0
199,60670.5,0
200,28981.0996094,0
201,219900,0
202,34477.1015625,0
203,33094.8984375,0
220,41169.8984375,0
221,20622,0
222,67441.5,0
223,42627.3007813,0
224,120131,0
225,36741,0
226,704757,0
239,165181,0
242,47392.1015625,0
243,224159,0
244,87811,0
245,56564.1015625,0
246,88957.296875,0
247,316216,0
248,56442.6015625,0
259,9164.9404297,0
261,450577,0
264,76724.6015625,0
265,13385.9003906,0
266,45205.8984375,0
267,173228,0
268,446178,0
269,32283.0996094,0
270,235787,0
281,12190.4003906,0
283,23700.9003906,0
284,16777.9003906,0
286,43263.8984375,0
287,19180.6992188,0
288,21493.5996094,0
289,46519.1992188,0
290,30050,0
291,74634.8984375,0
292,364602,0
293,810557,0
303,18821.5996094,0
305,912855,0
306,314935,0
308,88227,0
309,18227.0996094,0
310,65965.1015625,0
311,345235,0
312,12983.2998047,0
313,170823,0
314,70602.5,0
315,94960.796875,0
316,501795,0
322,55878.8984375,0
323,11071.9003906,0
325,34222.6015625,0
326,115623,0
327,20315.5996094,0
328,15296.4003906,0
329,25025,0
330,78772.703125,0
331,202338,0
332,213078,0
333,16432.4003906,0
334,104997,0
335,36938.1015625,0
336,366525,0
337,3698990,0
338,99705.703125,0
342,33506.6015625,0
343,29229.5996094,0
344,815179,0
345,15580.9003906,0
346,41366,0
347,55460.8984375,0
348,134512,0
349,191842,0
350,96962.5,0
352,35206.6992188,0
353,32259.4003906,0
354,15248.5996094,0
355,15203,0
356,13500.0996094,0
357,104134,0
358,263741,0
359,128791,0
360,452971,0
363,53151.3984375,0
364,82991.296875,0
365,333060,0
366,39835,0
367,34582.3984375,0
368,1544070,0
369,42567.6992188,0
370,24687.6992188,0
371,84174,0
372,106210,0
373,11520.4003906,0
374,13649.7001953,0
375,64790.3007813,0
376,12337.2998047,0
377,7243.5800781,0
378,46225.3007813,0
379,47363.1992188,0
380,160016,0
381,656359,0
382,92689.5,0
383,145644,0
384,47517.5,0
385,19063.0996094,0
386,301828,0
387,140980,0
388,203550,0
389,657372,0
390,36031.3984375,0
391,90880.6015625,0
392,22612.3007813,0
393,109880,0
394,24428.8007813,0
397,13941.5996094,0
398,10205.2001953,0
399,7436.8100586,0
400,10173.2001953,0
401,14094.5,0
402,168774,0
403,39859.8007813,0
404,28096.8007813,0
405,59918.1992188,0
406,98529.3984375,0
407,160271,0
408,61177,0
409,72467.703125,0
410,256701,0
411,32344.4003906,0
412,95525,0
413,821839,0
414,80567.3984375,0
415,415117,0
416,28683,0
417,80072.8984375,0
