"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,2975449402.726520,0,61,0,0,,1.000000
23,,0.000000,404903521.099120,0,15,0,0,,1.000000
22,,0.000000,1395098164.967760,0,32,0,0,,1.000000
21,,0.000000,272680645.263190,0,7,0,0,,1.000000
20,,0.000000,194412624.746570,0,19,0,0,,1.000000
19,,0.000000,348000019.843260,0,9,0,0,,1.000000
18,,0.000000,745088.259770,0,2,0,0,,1.000000
17,,0.000000,2580625.679200,0,1,0,0,,1.000000
16,,0.000000,2885308128.463840,0,62,0,0,,1.000000
15,,0.000000,56667068.947740,0,9,0,0,,1.000000
14,,0.000000,41709575.332520,0,4,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,55972750.366710,0,7,0,0,,1.000000
11,,0.000000,157587800.494630,0,29,0,0,,1.000000
10,,110238644.596040,113361194.764150,0,12,0,0,yes,1.000000
9,,238284629.509380,240689552.234380,0,7,0,0,yes,1.000000
8,,257928662.232081,258980893.234390,0,29,0,0,yes,1.000000
7,,434248527.484422,434436748.993650,0,28,0,0,yes,1.000000
6,,468737987.304786,468962486.344230,0,29,0,0,yes,1.000000
5,,301455310.442283,306620663.647950,0,12,0,0,yes,1.000000
4,,107541997.643654,109678464.063480,0,8,0,0,yes,1.000000
3,,276535527.748922,281257729.668940,0,10,0,0,yes,1.000000
2,,192323344.329095,192432952.240250,0,9,0,0,yes,1.000000
1,,118118429.428616,123355347.950690,0,7,0,0,yes,1.000000
