"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,3135205548.425291,0,61,0,0,,1.000000
23,,0.000000,557028681.755870,0,16,0,0,,1.000000
22,,0.000000,1527670630.171380,0,38,0,0,,1.000000
21,,0.000000,350281383.047360,0,10,0,0,,1.000000
20,,0.000000,210913753.826160,0,15,0,0,,1.000000
19,,0.000000,349572754.691400,0,9,0,0,,1.000000
18,,0.000000,64672.713870,0,1,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,3136771764.948230,0,61,0,0,,1.000000
15,,0.000000,22786916.404290,0,5,0,0,,1.000000
14,,0.000000,34643366.653320,0,3,0,0,,1.000000
13,,0.000000,1687970.534180,0,1,0,0,,1.000000
12,,0.000000,34359183.565430,0,6,0,0,,1.000000
11,,0.000000,139361943.726570,0,26,0,0,,1.000000
10,,110238644.596040,110620593.063960,0,11,0,0,yes,1.000000
9,,238284629.509380,237222719.289060,0,12,0,0,yes,0.995544
8,,257928662.232081,258313291.798360,0,26,0,0,yes,1.000000
7,,434248527.484422,434469182.935550,0,25,0,0,yes,1.000000
6,,468737987.304786,469153971.899930,0,26,0,0,yes,1.000000
5,,301455310.442283,309048456.734360,0,11,0,0,yes,1.000000
4,,107541997.643654,130800533.995120,0,10,0,0,yes,1.000000
3,,276535527.748922,279480009.221190,0,11,0,0,yes,1.000000
2,,192323344.329095,194205209.662600,0,5,0,0,yes,1.000000
1,,118118429.428616,123085705.524420,0,6,0,0,yes,1.000000
