"planning_unit","number"
1792,0
1771,0
1770,0
1748,0
1747,0
1729,0
1727,0
1726,0
1725,0
1707,0
1706,0
1705,0
1704,0
1703,0
1702,3
1701,3
1700,6
1685,0
1684,0
1683,0
1682,0
1681,0
1680,3
1679,6
1678,4
1663,0
1662,0
1661,0
1660,0
1659,0
1658,1
1657,2
1656,1
1641,0
1640,0
1639,0
1638,0
1637,0
1636,1
1635,0
1634,3
1623,0
1619,0
1618,0
1617,0
1616,0
1615,0
1614,2
1613,2
1612,3
1611,0
1601,0
1600,0
1598,0
1597,0
1596,0
1595,0
1594,0
1593,0
1592,3
1591,0
1590,0
1579,0
1578,0
1577,0
1575,0
1574,0
1573,0
1572,0
1571,0
1570,3
1569,0
1568,1
1567,2
1557,0
1556,0
1554,0
1553,0
1552,0
1551,0
1550,0
1549,0
1548,0
1547,2
1546,3
1545,0
1535,0
1534,0
1533,0
1531,0
1530,0
1529,0
1528,0
1527,0
1526,0
1525,0
1524,1
1523,0
1513,0
1512,0
1510,0
1509,0
1508,0
1507,0
1506,0
1505,0
1504,1
1503,0
1502,3
1501,1
1491,0
1490,0
1489,0
1488,2
1487,0
1486,0
1485,0
1484,0
1483,0
1482,0
1481,0
1480,2
1479,0
1469,0
1468,0
1467,0
1466,7
1465,0
1464,0
1463,0
1462,0
1461,0
1460,0
1459,1
1458,1
1457,1
1447,0
1446,0
1445,0
1444,0
1443,0
1442,0
1441,0
1440,0
1439,0
1438,0
1437,1
1436,1
1435,0
1434,3
1425,0
1424,0
1423,2
1422,0
1421,0
1420,0
1419,0
1418,0
1417,0
1416,0
1415,2
1414,1
1413,1
1403,5
1402,0
1401,0
1400,0
1399,0
1398,0
1397,0
1396,0
1395,0
1394,0
1393,0
1392,1
1391,1
1390,2
1381,0
1380,0
1379,0
1378,0
1377,0
1376,0
1375,0
1374,0
1373,0
1372,0
1371,0
1370,0
1369,2
1368,1
1360,0
1359,0
1358,0
1357,0
1356,0
1355,0
1354,0
1353,0
1352,0
1351,0
1350,0
1349,0
1348,0
1347,0
1346,3
1345,5
1338,0
1337,0
1336,0
1335,0
1334,0
1333,0
1332,0
1331,0
1330,0
1329,0
1328,0
1327,0
1326,3
1325,1
1324,1
1316,0
1315,0
1314,0
1313,0
1312,0
1311,0
1310,0
1309,0
1308,0
1307,0
1306,0
1305,1
1304,0
1303,2
1302,0
1301,2
1294,2
1293,0
1292,0
1291,0
1290,0
1289,0
1288,0
1287,0
1286,0
1285,0
1284,0
1283,0
1282,3
1281,0
1280,2
1279,1
1272,0
1271,0
1270,0
1269,0
1268,0
1267,0
1266,0
1265,0
1264,0
1263,0
1262,0
1261,0
1260,1
1259,2
1258,0
1257,0
1250,0
1249,0
1248,0
1247,0
1246,0
1245,0
1244,0
1243,0
1242,0
1241,0
1240,0
1239,0
1238,2
1237,2
1236,2
1235,1
1227,0
1226,0
1225,0
1224,0
1223,0
1222,0
1221,0
1220,0
1219,0
1218,0
1217,0
1216,0
1215,2
1214,1
1213,3
1206,0
1205,0
1204,0
1203,0
1202,0
1201,0
1200,0
1199,0
1198,0
1197,0
1196,0
1195,0
1194,1
1193,1
1192,2
1191,4
1183,0
1182,0
1181,0
1180,0
1179,0
1178,0
1177,0
1176,0
1175,0
1174,0
1173,0
1172,3
1171,1
1170,2
1169,1
1164,0
1162,0
1161,0
1160,0
1159,0
1158,0
1157,0
1156,0
1155,0
1154,0
1153,0
1152,2
1151,0
1150,0
1149,1
1148,0
1147,2
1141,0
1140,0
1139,0
1138,3
1137,0
1136,1
1135,0
1134,0
1133,0
1132,0
1131,0
1130,0
1129,0
1128,1
1127,2
1126,0
1125,3
1124,0
1120,0
1118,0
1117,0
1116,2
1115,0
1114,0
1113,0
1112,0
1111,0
1110,0
1109,0
1108,1
1107,0
1106,2
1105,0
1104,0
1103,1
1097,0
1096,0
1095,0
1094,1
1093,0
1092,0
1091,0
1090,0
1089,0
1088,0
1087,0
1086,0
1085,3
1084,1
1083,1
1082,2
1081,1
1080,3
1076,0
1074,0
1073,0
1072,0
1071,0
1070,0
1069,0
1068,0
1067,0
1066,0
1065,0
1064,0
1063,1
1062,2
1061,1
1060,1
1059,0
1053,0
1052,0
1051,0
1050,4
1049,0
1048,3
1047,0
1046,1
1045,0
1044,0
1043,0
1042,0
1041,2
1040,1
1039,0
1038,2
1037,0
1036,0
1032,0
1031,0
1030,0
1029,4
1028,3
1027,0
1026,2
1025,2
1024,0
1023,0
1022,0
1021,0
1020,0
1019,2
1018,1
1017,2
1016,4
1015,0
1009,0
1008,0
1007,1
1006,0
1005,0
1004,2
1003,1
1002,5
1001,0
1000,0
999,0
998,0
997,0
996,1
995,1
994,2
993,2
992,4
988,0
987,0
986,0
985,0
984,1
983,0
982,2
981,4
980,3
979,1
978,0
977,0
976,0
975,3
974,0
973,2
972,0
971,1
965,0
964,0
963,0
962,1
961,0
960,2
959,0
958,3
957,0
956,0
955,0
954,0
953,1
952,2
951,1
950,0
949,2
948,3
944,0
943,0
942,0
941,0
940,2
939,0
938,2
937,1
936,1
935,0
934,0
933,0
932,0
931,0
930,0
929,0
928,1
927,0
922,0
921,0
920,2
919,0
918,0
917,0
916,0
915,2
914,1
913,1
912,1
911,0
910,0
909,0
908,0
907,2
906,0
905,0
904,0
900,0
899,5
898,0
897,0
896,0
895,3
894,2
893,2
892,2
891,3
890,0
889,0
888,0
887,1
886,0
885,0
884,0
883,0
877,1
876,0
875,0
874,3
873,0
872,2
871,3
870,0
869,0
868,1
867,0
866,0
865,2
864,1
863,1
862,0
861,0
856,1
855,4
854,0
853,1
852,1
851,0
850,3
849,2
848,0
847,0
846,0
845,0
844,0
843,1
842,0
841,1
840,0
839,0
834,0
833,0
832,0
831,2
830,1
829,1
828,0
827,0
826,1
825,0
824,0
823,1
822,0
821,3
820,2
819,1
818,0
817,0
812,0
811,2
810,2
809,0
808,0
807,0
806,0
805,0
804,0
803,0
802,0
801,0
800,1
799,0
798,1
797,0
796,0
795,0
790,1
789,1
788,2
787,1
786,1
785,0
784,0
783,0
782,0
781,0
780,0
779,0
778,0
777,0
776,5
775,0
774,0
773,0
772,0
768,0
767,0
766,1
765,1
764,0
763,0
762,0
761,0
760,1
759,0
758,0
757,0
756,1
755,0
754,0
753,4
752,1
751,1
746,0
745,0
744,0
743,1
742,0
741,1
740,0
739,0
738,1
737,0
736,0
735,0
734,2
733,0
732,0
731,1
730,0
729,0
728,1
724,1
723,0
722,0
721,0
720,2
719,0
718,0
717,0
716,1
715,1
714,0
713,0
712,2
711,3
710,0
709,0
708,0
707,1
706,2
702,0
701,2
700,1
699,0
698,3
697,3
696,0
695,0
694,0
693,0
692,0
691,0
690,1
689,1
688,1
687,0
686,0
685,1
684,3
683,0
680,0
679,1
678,1
677,0
676,0
675,0
674,0
673,0
672,1
671,0
670,0
669,0
668,2
667,1
666,0
665,1
664,1
663,2
662,0
658,0
657,4
656,0
655,0
654,0
653,2
652,0
651,0
650,0
649,3
648,0
647,0
646,1
645,1
644,0
643,0
642,2
641,0
640,1
639,1
636,0
635,2
634,0
633,0
632,0
631,2
630,0
629,0
628,0
627,0
626,0
625,0
624,1
623,0
622,0
621,3
620,4
619,0
618,0
617,0
614,0
613,1
612,0
611,0
610,0
609,2
608,0
607,2
606,0
605,0
604,3
603,1
602,0
601,1
600,1
599,0
598,1
597,1
596,3
595,0
593,0
592,0
591,0
590,1
589,0
588,1
587,1
586,0
585,1
584,4
583,0
582,1
581,2
580,1
579,2
578,0
577,1
576,2
575,0
574,0
573,1
570,0
569,0
568,1
567,1
566,0
565,0
564,1
563,0
562,1
561,2
560,0
559,0
558,0
557,1
556,2
555,1
554,0
553,0
552,2
551,0
549,0
548,2
547,0
546,5
545,3
544,1
543,2
542,1
541,1
540,5
539,0
538,0
537,0
536,0
535,2
534,1
533,1
532,0
531,0
530,0
529,0
526,1
525,3
524,1
523,0
522,1
521,0
520,3
519,0
518,2
517,1
516,0
515,0
514,1
513,0
512,0
511,0
510,0
509,2
508,2
507,0
505,0
504,0
503,1
502,0
501,1
500,0
499,1
498,3
497,1
496,1
495,0
494,1
493,1
492,0
491,0
490,0
489,0
488,0
487,2
486,0
485,0
482,0
481,3
480,2
479,0
478,0
477,0
476,0
475,1
474,0
473,2
472,1
471,0
470,1
469,1
468,0
467,0
466,1
465,1
464,0
463,0
462,0
461,0
460,0
459,3
458,0
457,1
456,0
455,2
454,0
453,0
452,2
451,0
450,1
449,0
448,0
447,3
446,0
445,1
444,1
443,1
442,0
441,0
438,0
437,2
436,0
435,0
434,0
433,1
432,0
431,1
430,0
429,4
428,0
427,0
426,0
425,0
424,0
423,0
422,1
421,2
420,2
419,0
418,0
417,0
416,0
415,0
414,0
413,0
412,0
411,0
410,0
409,1
408,0
407,0
406,0
405,0
404,4
403,1
402,0
401,1
400,0
399,0
398,0
397,0
394,0
393,0
392,2
391,1
390,0
389,0
388,0
387,0
386,0
385,1
384,0
383,0
382,1
381,0
380,0
379,0
378,0
377,0
376,2
375,0
374,0
373,0
372,0
371,0
370,2
369,0
368,0
367,0
366,0
365,0
364,0
363,0
360,0
359,0
358,0
357,0
356,0
355,1
354,1
353,0
352,0
350,0
349,0
348,0
347,0
346,0
345,0
344,0
343,0
342,0
338,1
337,1
336,0
335,1
334,0
333,2
332,0
331,1
330,0
329,0
328,0
327,0
326,0
325,0
323,0
322,0
316,1
315,0
314,0
313,0
312,1
311,0
310,0
309,0
308,0
306,0
305,0
303,0
293,0
292,0
291,3
290,1
289,0
288,0
287,0
286,0
284,0
283,0
281,0
270,0
269,0
268,0
267,0
266,0
265,0
264,0
261,0
259,0
248,0
247,0
246,0
245,0
244,0
243,0
242,0
239,0
226,0
225,0
224,0
223,0
222,0
221,0
220,0
203,0
202,0
201,0
200,0
199,0
198,0
181,0
180,0
179,0
178,0
177,0
176,0
158,0
157,0
156,0
155,0
154,0
136,0
135,0
134,0
133,0
112,0
111,0
110,0
92,0
91,0
90,0
89,0
68,0
67,0
66,0
46,0
45,0
24,0
22,0
2,0
