"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,3497348366.719357,3490223994.323003,66,1806797.000000,18942285.000000,79856.000000,1806797.000000,17055632.000000,0.004216,7124372.396354,698035.689230,0,0.997737
2,3575916496.795004,3575916496.795004,62,1717622.000000,18942285.000000,64363.000000,1717622.000000,17160300.000000,0.003398,0.000000,0.000000,0,1.000000
3,3688260219.108243,3666475446.447004,64,1778565.000000,18942285.000000,62463.000000,1778565.000000,17101257.000000,0.003298,21784772.661240,2061195.736708,0,0.996076
4,3503079784.812974,3493246933.479003,62,1692549.000000,18942285.000000,99420.000000,1692549.000000,17150316.000000,0.005249,9832851.333971,967207.052137,0,0.996377
5,3357070584.314622,3355648483.607803,58,1541253.000000,18942285.000000,74383.000000,1541253.000000,17326649.000000,0.003927,1422100.706819,138624.191496,0,0.999704
6,3571146766.847004,3571146766.847004,64,1755352.000000,18942285.000000,77852.000000,1755352.000000,17109081.000000,0.004110,0.000000,0.000000,0,1.000000
7,3472365892.967502,3459478867.255003,60,1649317.000000,18942285.000000,84267.000000,1649317.000000,17208701.000000,0.004449,12887025.712498,1236124.875871,0,0.990984
8,3568090692.212976,3563757686.425004,58,1565587.000000,18942285.000000,85000.000000,1565587.000000,17291698.000000,0.004487,4333005.787972,420596.093651,0,0.998220
9,3635348853.338004,3635348853.338004,63,1772112.000000,18942285.000000,74494.000000,1772112.000000,17095679.000000,0.003933,0.000000,0.000000,0,1.000000
10,3653299259.458572,3642413054.848704,63,1704856.000000,18942285.000000,63092.000000,1704856.000000,17174337.000000,0.003331,10886204.609868,1061910.220320,0,0.995544
