spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
24,0,5.61595e+10,0,0,0,1125,0,0,0
23,1,4.69799e+09,0,0,0,155,0,0,0
22,2,3.38431e+10,0,0,0,786,0,0,0
21,3,4.42251e+09,0,0,0,119,0,0,0
20,4,8.12126e+09,0,0,0,380,0,0,0
19,5,7.14455e+09,0,0,0,203,0,0,0
18,6,5.99242e+07,0,0,0,43,0,0,0
17,7,3.82231e+08,0,0,0,15,0,0,0
16,8,5.3604e+10,0,0,0,1080,0,0,0
15,9,4.75741e+09,0,0,0,243,0,0,0
14,10,1.17878e+09,0,0,0,92,0,0,0
13,11,1.0627e+09,0,0,0,139,0,0,0
12,12,1.08376e+09,0,0,0,123,0,0,0
11,13,2.03099e+09,0,0,0,304,0,0,0
10,14,1.10239e+09,0,0,0,171,0,0,0
9,15,2.38285e+09,0,0,0,140,0,0,0
8,16,2.57929e+09,0,0,0,305,0,0,0
7,17,4.34249e+09,0,0,0,300,0,0,0
6,18,4.68738e+09,0,0,0,299,0,0,0
5,19,3.01455e+09,0,0,0,175,0,0,0
4,20,1.07542e+09,0,0,0,109,0,0,0
3,21,2.76536e+09,0,0,0,133,0,0,0
2,22,1.92323e+09,0,0,0,231,0,0,0
1,23,1.18118e+09,0,0,0,92,0,0,0
