"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,2723957459.435530,0,65,0,0,,1.000000
23,,0.000000,0.000000,0,0,0,0,,1.000000
22,,0.000000,1898317576.507790,0,37,0,0,,1.000000
21,,0.000000,334314097.520500,0,7,0,0,,1.000000
20,,0.000000,176029626.029300,0,8,0,0,,1.000000
19,,0.000000,48955735.768550,0,3,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,3895393575.486280,0,65,0,0,,1.000000
15,,0.000000,23601718.976560,0,6,0,0,,1.000000
14,,0.000000,10207079.874510,0,4,0,0,,1.000000
13,,0.000000,0.000000,0,0,0,0,,1.000000
12,,0.000000,235493105.714840,0,17,0,0,,1.000000
11,,0.000000,287904067.440420,0,34,0,0,,1.000000
10,,110238644.596040,129878845.985820,0,17,0,0,yes,1.000000
9,,238284629.509380,256900534.641610,0,12,0,0,yes,1.000000
8,,257928662.232081,596369813.918450,0,35,0,0,yes,1.000000
7,,434248527.484422,507088721.939440,0,35,0,0,yes,1.000000
6,,468737987.304786,469863373.410150,0,33,0,0,yes,1.000000
5,,301455310.442283,325097728.396960,0,17,0,0,yes,1.000000
4,,107541997.643654,151841688.739730,0,10,0,0,yes,1.000000
3,,276535527.748922,276978064.048840,0,12,0,0,yes,1.000000
2,,192323344.329095,204637895.153810,0,7,0,0,yes,1.000000
1,,118118429.428616,120028687.253920,0,12,0,0,yes,1.000000
