"planning_unit","number"
1792,0
1771,0
1770,0
1748,0
1747,0
1729,0
1727,0
1726,0
1725,0
1707,0
1706,0
1705,0
1704,0
1703,0
1702,0
1701,0
1700,0
1685,0
1684,0
1683,0
1682,0
1681,0
1680,0
1679,0
1678,0
1663,0
1662,0
1661,0
1660,0
1659,0
1658,0
1657,0
1656,0
1641,0
1640,0
1639,0
1638,0
1637,0
1636,0
1635,0
1634,0
1623,0
1619,0
1618,0
1617,0
1616,0
1615,0
1614,0
1613,0
1612,0
1611,0
1601,0
1600,0
1598,0
1597,0
1596,0
1595,0
1594,0
1593,0
1592,0
1591,0
1590,0
1579,0
1578,0
1577,0
1575,0
1574,0
1573,0
1572,0
1571,0
1570,0
1569,0
1568,0
1567,0
1557,0
1556,0
1554,0
1553,0
1552,0
1551,0
1550,0
1549,0
1548,0
1547,1
1546,0
1545,0
1535,0
1534,0
1533,0
1531,0
1530,0
1529,0
1528,0
1527,0
1526,0
1525,1
1524,0
1523,0
1513,0
1512,0
1510,0
1509,0
1508,0
1507,0
1506,0
1505,0
1504,0
1503,2
1502,0
1501,0
1491,0
1490,0
1489,0
1488,0
1487,0
1486,0
1485,0
1484,0
1483,0
1482,0
1481,0
1480,1
1479,0
1469,0
1468,0
1467,0
1466,0
1465,0
1464,0
1463,0
1462,0
1461,0
1460,0
1459,1
1458,0
1457,0
1447,0
1446,0
1445,0
1444,0
1443,0
1442,0
1441,0
1440,0
1439,0
1438,0
1437,0
1436,0
1435,0
1434,0
1425,0
1424,0
1423,0
1422,0
1421,0
1420,0
1419,0
1418,0
1417,0
1416,0
1415,0
1414,0
1413,0
1403,0
1402,0
1401,0
1400,0
1399,0
1398,0
1397,0
1396,0
1395,0
1394,0
1393,0
1392,0
1391,0
1390,0
1381,0
1380,0
1379,0
1378,0
1377,0
1376,0
1375,0
1374,0
1373,0
1372,0
1371,0
1370,0
1369,0
1368,0
1360,0
1359,0
1358,0
1357,0
1356,0
1355,0
1354,0
1353,0
1352,0
1351,0
1350,0
1349,0
1348,0
1347,1
1346,1
1345,0
1338,0
1337,0
1336,0
1335,0
1334,0
1333,0
1332,0
1331,0
1330,0
1329,0
1328,0
1327,0
1326,1
1325,2
1324,0
1316,0
1315,0
1314,0
1313,0
1312,0
1311,0
1310,0
1309,0
1308,0
1307,0
1306,0
1305,0
1304,1
1303,2
1302,1
1301,0
1294,0
1293,0
1292,0
1291,0
1290,0
1289,0
1288,0
1287,0
1286,0
1285,0
1284,0
1283,0
1282,3
1281,4
1280,0
1279,0
1272,0
1271,0
1270,0
1269,0
1268,0
1267,0
1266,0
1265,0
1264,0
1263,0
1262,0
1261,0
1260,1
1259,4
1258,3
1257,0
1250,0
1249,0
1248,0
1247,0
1246,0
1245,0
1244,0
1243,0
1242,0
1241,0
1240,0
1239,0
1238,4
1237,4
1236,3
1235,0
1227,0
1226,0
1225,0
1224,0
1223,0
1222,0
1221,0
1220,0
1219,0
1218,0
1217,0
1216,3
1215,4
1214,3
1213,0
1206,0
1205,0
1204,0
1203,0
1202,0
1201,0
1200,0
1199,0
1198,0
1197,0
1196,0
1195,2
1194,5
1193,4
1192,2
1191,0
1183,0
1182,0
1181,0
1180,0
1179,0
1178,0
1177,0
1176,0
1175,0
1174,0
1173,2
1172,6
1171,4
1170,2
1169,0
1164,0
1162,0
1161,0
1160,0
1159,0
1158,0
1157,0
1156,0
1155,0
1154,0
1153,0
1152,2
1151,3
1150,6
1149,3
1148,1
1147,0
1141,0
1140,0
1139,0
1138,0
1137,1
1136,0
1135,0
1134,0
1133,0
1132,0
1131,0
1130,0
1129,3
1128,5
1127,4
1126,1
1125,0
1124,0
1120,0
1118,0
1117,0
1116,1
1115,0
1114,0
1113,0
1112,0
1111,0
1110,0
1109,0
1108,2
1107,3
1106,4
1105,1
1104,0
1103,0
1097,0
1096,0
1095,0
1094,0
1093,1
1092,0
1091,0
1090,0
1089,0
1088,0
1087,0
1086,0
1085,3
1084,3
1083,1
1082,0
1081,0
1080,0
1076,0
1074,0
1073,0
1072,2
1071,1
1070,0
1069,0
1068,0
1067,0
1066,0
1065,0
1064,0
1063,3
1062,2
1061,0
1060,0
1059,0
1053,0
1052,0
1051,0
1050,5
1049,2
1048,1
1047,1
1046,0
1045,0
1044,0
1043,0
1042,0
1041,3
1040,3
1039,1
1038,0
1037,0
1036,0
1032,0
1031,0
1030,0
1029,4
1028,5
1027,1
1026,2
1025,1
1024,0
1023,0
1022,0
1021,0
1020,0
1019,3
1018,1
1017,0
1016,0
1015,0
1009,0
1008,0
1007,0
1006,4
1005,1
1004,1
1003,1
1002,0
1001,0
1000,0
999,0
998,0
997,1
996,1
995,1
994,0
993,0
992,0
988,0
987,0
986,0
985,0
984,1
983,0
982,2
981,1
980,0
979,0
978,0
977,0
976,0
975,1
974,1
973,0
972,0
971,0
965,0
964,0
963,0
962,0
961,0
960,0
959,1
958,0
957,0
956,0
955,0
954,0
953,1
952,1
951,1
950,0
949,0
948,0
944,0
943,0
942,0
941,0
940,0
939,0
938,0
937,0
936,0
935,0
934,0
933,0
932,0
931,1
930,1
929,0
928,0
927,0
922,0
921,0
920,2
919,0
918,1
917,0
916,0
915,1
914,0
913,0
912,0
911,0
910,0
909,1
908,1
907,1
906,0
905,0
904,0
900,0
899,4
898,1
897,0
896,0
895,0
894,1
893,0
892,0
891,0
890,0
889,0
888,0
887,1
886,1
885,0
884,0
883,0
877,2
876,4
875,0
874,1
873,0
872,0
871,1
870,0
869,0
868,0
867,0
866,0
865,1
864,2
863,1
862,0
861,0
856,0
855,4
854,3
853,1
852,1
851,0
850,1
849,1
848,0
847,0
846,0
845,0
844,0
843,2
842,2
841,0
840,0
839,0
834,0
833,1
832,3
831,2
830,1
829,0
828,0
827,1
826,0
825,0
824,0
823,0
822,0
821,2
820,2
819,0
818,0
817,0
812,0
811,4
810,3
809,2
808,1
807,0
806,0
805,0
804,0
803,0
802,0
801,0
800,0
799,2
798,1
797,0
796,0
795,1
790,0
789,1
788,4
787,4
786,1
785,0
784,0
783,0
782,0
781,0
780,0
779,0
778,0
777,4
776,1
775,0
774,0
773,1
772,1
768,0
767,2
766,2
765,2
764,0
763,0
762,0
761,0
760,0
759,0
758,0
757,0
756,5
755,5
754,1
753,0
752,1
751,2
746,0
745,0
744,1
743,1
742,1
741,0
740,0
739,0
738,0
737,0
736,0
735,0
734,5
733,6
732,2
731,0
730,0
729,2
728,2
724,0
723,0
722,0
721,1
720,0
719,0
718,0
717,0
716,0
715,0
714,0
713,4
712,5
711,6
710,1
709,0
708,2
707,2
706,1
702,0
701,0
700,0
699,0
698,0
697,0
696,0
695,0
694,0
693,0
692,0
691,0
690,5
689,6
688,1
687,1
686,0
685,2
684,2
683,0
680,0
679,0
678,0
677,0
676,0
675,0
674,0
673,0
672,0
671,0
670,0
669,4
668,5
667,6
666,1
665,1
664,2
663,3
662,1
658,0
657,0
656,0
655,0
654,0
653,0
652,0
651,0
650,0
649,0
648,0
647,0
646,6
645,6
644,1
643,1
642,0
641,3
640,2
639,1
636,0
635,0
634,0
633,0
632,0
631,1
630,1
629,0
628,0
627,0
626,0
625,3
624,6
623,6
622,1
621,1
620,1
619,3
618,2
617,0
614,0
613,0
612,0
611,0
610,0
609,1
608,1
607,1
606,0
605,0
604,0
603,0
602,3
601,6
600,0
599,1
598,0
597,3
596,3
595,1
593,0
592,0
591,0
590,0
589,0
588,1
587,1
586,1
585,2
584,0
583,0
582,0
581,3
580,3
579,1
578,0
577,0
576,0
575,3
574,3
573,0
570,0
569,0
568,0
567,0
566,0
565,1
564,3
563,4
562,3
561,2
560,0
559,0
558,3
557,2
556,1
555,0
554,0
553,3
552,3
551,3
549,0
548,0
547,0
546,0
545,1
544,1
543,3
542,5
541,4
540,3
539,0
538,0
537,1
536,2
535,2
534,1
533,0
532,0
531,3
530,3
529,1
526,0
525,0
524,1
523,0
522,1
521,3
520,4
519,4
518,3
517,3
516,0
515,0
514,1
513,1
512,1
511,0
510,0
509,3
508,3
507,2
505,0
504,0
503,1
502,3
501,1
500,0
499,4
498,4
497,4
496,4
495,0
494,0
493,0
492,1
491,0
490,0
489,0
488,0
487,2
486,2
485,1
482,0
481,1
480,4
479,0
478,1
477,2
476,3
475,4
474,3
473,1
472,0
471,0
470,0
469,1
468,0
467,0
466,0
465,1
464,2
463,2
462,0
461,0
460,0
459,3
458,3
457,1
456,0
455,3
454,3
453,3
452,2
451,0
450,0
449,0
448,0
447,0
446,0
445,0
444,0
443,2
442,2
441,1
438,0
437,1
436,2
435,1
434,0
433,0
432,3
431,1
430,1
429,0
428,0
427,0
426,0
425,0
424,0
423,0
422,0
421,0
420,2
419,2
418,0
417,0
416,0
415,2
414,2
413,0
412,0
411,0
410,1
409,1
408,0
407,0
406,0
405,0
404,0
403,0
402,0
401,0
400,0
399,1
398,2
397,0
394,0
393,0
392,2
391,0
390,0
389,0
388,0
387,1
386,0
385,0
384,0
383,0
382,0
381,0
380,0
379,0
378,0
377,0
376,2
375,0
374,0
373,0
372,0
371,0
370,0
369,0
368,0
367,0
366,0
365,0
364,0
363,0
360,0
359,0
358,0
357,0
356,0
355,0
354,0
353,0
352,0
350,0
349,0
348,0
347,0
346,0
345,0
344,0
343,0
342,0
338,0
337,0
336,0
335,0
334,0
333,0
332,0
331,0
330,0
329,0
328,0
327,0
326,0
325,0
323,0
322,0
316,0
315,0
314,0
313,0
312,0
311,0
310,0
309,0
308,0
306,0
305,0
303,0
293,0
292,0
291,0
290,0
289,0
288,0
287,0
286,0
284,0
283,0
281,0
270,0
269,0
268,0
267,0
266,0
265,0
264,0
261,0
259,0
248,0
247,0
246,0
245,0
244,0
243,0
242,0
239,0
226,0
225,0
224,0
223,0
222,0
221,0
220,0
203,0
202,0
201,0
200,0
199,0
198,0
181,0
180,0
179,0
178,0
177,0
176,0
158,0
157,0
156,0
155,0
154,0
136,0
135,0
134,0
133,0
112,0
111,0
110,0
92,0
91,0
90,0
89,0
68,0
67,0
66,0
46,0
45,0
24,0
22,0
2,0
