"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,10014438069357.884766,5834846157.529999,175,600000.000000,18942285.000000,2325000.000000,600000.000000,16017285.000000,0.122741,0.000000,0.000000,0,1.000000
2,11012104923001.693359,2641377481.300001,84,660000.000000,18942285.000000,930000.000000,660000.000000,17352285.000000,0.049097,0.000000,0.000000,0,1.000000
3,10819795641449.191406,1830037599.365999,78,648520.000000,18942285.000000,844190.000000,648520.000000,17449575.000000,0.044566,0.000000,0.000000,0,1.000000
4,9848434501795.080078,6641332314.729998,213,590000.000000,18942285.000000,2900000.000000,590000.000000,15452285.000000,0.153097,0.000000,0.000000,0,1.000000
5,10961018474660.236328,1673676366.176000,69,649340.000000,18942285.000000,708401.000000,649340.000000,17584544.000000,0.037398,127700770039.194244,1490528.532132,0,0.994610
6,9819898772390.794922,2793490861.006004,127,588520.000000,18942285.000000,1609190.000000,588520.000000,16744575.000000,0.084952,0.000000,0.000000,0,1.000000
7,10348491189499.748047,6267858859.380001,193,620000.000000,18942285.000000,2585000.000000,620000.000000,15737285.000000,0.136467,0.000000,0.000000,0,1.000000
8,9395393675412.771484,2401934857.140001,88,560375.000000,18942285.000000,1040000.000000,560375.000000,17341910.000000,0.054904,45373355220.798790,581238.099595,0,0.996978
9,10014524671898.255859,5921448697.900000,175,600000.000000,18942285.000000,2325000.000000,600000.000000,16017285.000000,0.122741,0.000000,0.000000,0,1.000000
10,10682241200750.320312,6397762669.940002,193,640000.000000,18942285.000000,2575000.000000,640000.000000,15727285.000000,0.135939,0.000000,0.000000,0,1.000000
