"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
24,,0.000000,8038324122.355415,0,155,0,0,,1.000000
23,,0.000000,0.000000,0,0,0,0,,1.000000
22,,0.000000,4736910235.759240,0,103,0,0,,1.000000
21,,0.000000,971783976.035160,0,22,0,0,,1.000000
20,,0.000000,21014665.310550,0,1,0,0,,1.000000
19,,0.000000,1138160573.140650,0,41,0,0,,1.000000
18,,0.000000,0.000000,0,0,0,0,,1.000000
17,,0.000000,0.000000,0,0,0,0,,1.000000
16,,0.000000,6706581779.372998,0,142,0,0,,1.000000
15,,0.000000,243091983.076660,0,24,0,0,,1.000000
14,,0.000000,0.000000,0,0,0,0,,1.000000
13,,0.000000,369271662.269010,0,39,0,0,,1.000000
12,,0.000000,200360422.804670,0,31,0,0,,1.000000
11,,0.000000,233192869.757800,0,32,0,0,,1.000000
10,,110238644.596040,188115546.288080,0,38,0,0,yes,1.000000
9,,238284629.509380,238840389.922380,0,18,0,0,yes,1.000000
8,,257928662.232081,532696838.680180,0,33,0,0,yes,1.000000
7,,434248527.484422,451469687.865240,0,33,0,0,yes,1.000000
6,,468737987.304786,469199022.895990,0,32,0,0,yes,1.000000
5,,301455310.442283,629315392.131830,0,38,0,0,yes,1.000000
4,,107541997.643654,119706397.546400,0,15,0,0,yes,1.000000
3,,276535527.748922,557359617.086420,0,22,0,0,yes,1.000000
2,,192323344.329095,193956755.412090,0,23,0,0,yes,1.000000
1,,118118429.428616,489690553.337890,0,42,0,0,yes,1.000000
